実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"479,927.4 ","272,911.8 ","267,740.6 ","226,212.1 ","25,453.3 ","74,594.7 ","-1,116.1 ","88,174.8 ","39,546.8 ",-24.6 ,"-13,943.0 ","47,151.5 ","61,094.5 ","-5,670.3 ",,"18,827.0 ","498,754.5 ","8,156.1 ","11,501.4 ","3,345.3 ","506,910.6 ",,"498,110.3 ","371,832.2 ","126,396.8 ",,"138,087.2 ",,"480,400.7 ",,,
2002/ 1- 3.,"480,737.2 ","274,487.0 ","269,405.0 ","227,641.0 ","25,207.3 ","73,956.7 ","-3,495.9 ","88,206.1 ","40,033.0 ",-81.5 ,"-12,308.7 ","49,303.0 ","61,611.7 ","-5,266.8 ",,"18,741.6 ","499,478.8 ","7,957.4 ","10,999.6 ","3,042.2 ","507,436.2 ",,"497,090.6 ","370,384.8 ","126,834.5 ",,"137,636.4 ",,"483,340.8 ",,,
4- 6.,"484,632.7 ","276,748.1 ","271,818.8 ","229,829.7 ","25,277.6 ","72,927.1 ","-2,443.7 ","88,525.2 ","38,946.7 ",-24.4 ,"-10,533.3 ","52,916.5 ","63,449.8 ","-4,790.6 ",,"18,718.9 ","503,351.6 ","7,188.6 ","10,396.6 ","3,208.0 ","510,540.2 ",,"498,762.3 ","372,624.9 ","126,228.6 ",,"135,624.9 ",,"486,259.7 ",,,
7- 9.,"486,155.2 ","276,963.3 ","272,137.3 ","229,936.5 ","25,217.7 ","74,123.9 ","-1,522.9 ","89,209.3 ","38,798.0 ",-65.6 ,"-12,265.2 ","53,285.4 ","65,550.6 ","-4,303.4 ",,"18,813.7 ","504,968.8 ","7,363.2 ","10,717.8 ","3,354.6 ","512,332.1 ",,"501,544.0 ","374,863.5 ","126,764.8 ",,"136,704.3 ",,"487,004.8 ",,,
10-12.,"487,507.2 ","276,311.5 ","271,455.5 ","229,040.4 ","24,894.5 ","74,180.2 ",490.3 ,"89,070.3 ","38,217.9 ",-171.5 ,"-11,394.8 ","55,126.7 ","66,521.5 ","-4,091.1 ",,"19,160.0 ","506,667.2 ","7,020.3 ","10,286.0 ","3,265.7 ","513,687.5 ",,"501,761.7 ","375,817.7 ","126,005.5 ",,"135,942.8 ",,"486,674.8 ",,,
2003/ 1- 3.,"487,811.8 ","277,463.0 ","272,448.1 ","229,806.4 ","24,752.8 ","74,469.2 ",-471.7 ,"89,547.1 ","36,976.9 ",-72.2 ,"-11,134.2 ","55,865.6 ","66,999.8 ","-3,719.0 ",,"17,507.7 ","505,319.6 ","7,620.8 ","10,720.1 ","3,099.3 ","512,940.4 ",,"501,670.8 ","376,264.2 ","125,464.3 ",,"134,984.1 ",,"487,742.0 ",,,
4- 6.,"491,165.7 ","276,969.3 ","271,761.1 ","228,896.4 ","24,890.7 ","75,611.8 ",-651.9 ,"90,342.3 ","37,123.2 ",74.6 ,"-8,770.3 ","55,995.3 ","64,765.6 ","-4,424.1 ",,"18,132.5 ","509,298.2 ","7,824.0 ","10,714.5 ","2,890.5 ","517,122.1 ",,"503,357.4 ","376,890.0 ","126,542.9 ",,"136,446.9 ",,"491,132.3 ",,,
7- 9.,"492,613.6 ","276,842.6 ","271,496.2 ","228,368.2 ","25,391.4 ","74,433.4 ","1,815.8 ","90,678.5 ","36,094.9 ",-98.3 ,"-8,349.9 ","57,994.6 ","66,344.5 ","-4,194.8 ",,"18,255.1 ","510,868.7 ","9,338.5 ","12,134.9 ","2,796.4 ","520,207.2 ",,"503,986.5 ","378,240.2 ","125,806.2 ",,"134,716.4 ",,"490,567.7 ",,,
10-12.,"497,973.7 ","280,604.6 ","275,206.8 ","231,965.9 ","25,070.6 ","77,427.0 ",-705.4 ,"91,066.1 ","35,257.8 ",-393.6 ,"-6,903.1 ","60,959.1 ","67,862.2 ","-3,450.3 ",,"18,596.1 ","516,569.7 ","8,367.5 ","11,039.4 ","2,671.9 ","524,937.2 ",,"507,653.4 ","382,497.2 ","125,185.9 ",,"136,811.6 ",,"498,373.9 ",,,
2004/ 1- 3.,"501,630.7 ","280,476.3 ","275,113.6 ","231,610.5 ","25,345.3 ","77,359.4 ","2,902.6 ","91,484.2 ","33,609.4 ",-341.2 ,"-5,973.3 ","63,965.8 ","69,939.1 ","-3,232.0 ",,"17,885.7 ","519,516.4 ","9,358.8 ","12,021.6 ","2,662.8 ","528,875.2 ",,"509,998.6 ","385,839.2 ","124,153.7 ",,"135,463.9 ",,"498,802.9 ",,,
