åŸópé“ïÒèV,,,,,,,,(íPà :10â≠â~ÅA%)
Compensation of Employees,,,,,,,,"(Billion Yen, %)"
,ñºñ⁄,,,,é¿éøÅi2015óÔîNòAçΩâøäiÅj,,,
,Nominal,,,,Real (Chained (2015) Yen),,,
,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,
,Original Series,,Seasonally Adjusted Series,,Original Series,,Seasonally Adjusted Series,
,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶
,Level,(*),Level,(**),Level,(*),Level,(**)
4- 6.,"67,254.4 ",0.4 ,"259,090.4 ",0.1 ,"66,936.8 ",-0.0 ,"258,526.0 ",-0.5 
7- 9.,"62,090.7 ",1.1 ,"261,138.3 ",0.8 ,"62,069.8 ",0.9 ,"260,695.0 ",0.8 
10-12.,"75,764.9 ",1.6 ,"262,760.8 ",0.6 ,"75,535.1 ",1.4 ,"262,929.6 ",0.9 
2016/ 1- 3.,"56,893.5 ",2.5 ,"265,462.4 ",1.0 ,"57,447.1 ",2.7 ,"266,885.7 ",1.5 
4- 6.,"68,897.9 ",2.4 ,"265,583.2 ",0.0 ,"68,879.8 ",2.9 ,"266,088.6 ",-0.3 
7- 9.,"63,783.8 ",2.7 ,"268,080.6 ",0.9 ,"64,196.0 ",3.4 ,"269,190.2 ",1.2 
10-12.,"77,826.0 ",2.7 ,"269,771.3 ",0.6 ,"77,552.5 ",2.7 ,"270,063.0 ",0.3 
2017/ 1- 3.,"57,743.6 ",1.5 ,"269,826.7 ",0.0 ,"58,044.8 ",1.0 ,"270,121.9 ",0.0 
4- 6.,"70,184.9 ",1.9 ,"270,279.5 ",0.2 ,"69,930.2 ",1.5 ,"269,729.6 ",-0.1 
7- 9.,"65,003.1 ",1.9 ,"273,354.6 ",1.1 ,"65,076.3 ",1.4 ,"272,805.5 ",1.1 
10-12.,"79,169.8 ",1.7 ,"274,245.4 ",0.3 ,"78,372.0 ",1.1 ,"273,046.3 ",0.1 
2018/ 1- 3.,"59,352.5 ",2.8 ,"277,935.8 ",1.3 ,"58,984.9 ",1.6 ,"275,248.0 ",0.8 
4- 6.,"73,136.1 ",4.2 ,"281,072.6 ",1.1 ,"72,486.6 ",3.7 ,"278,741.3 ",1.3 
