名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
10-12.,"533,980.8 ","285,407.2 ","279,198.6 ","236,979.2 ","27,238.6 ","88,163.9 ","-3,564.8 ","85,761.0 ","43,688.0 ",-337.5 ,"7,624.3 ","52,769.2 ","45,144.9 ",,"7,072.6 ","10,815.6 ","3,743.0 ","541,053.4 ",,"526,356.5 ","397,245.0 ","129,111.5 ",,"159,090.6 ",,"537,883.0 ",,,,,,
2000/ 1- 3.,"542,388.2 ","286,761.9 ","280,822.9 ","238,378.0 ","27,637.2 ","92,587.0 ","-1,993.3 ","87,372.0 ","41,477.1 ",153.0 ,"8,393.3 ","54,637.8 ","46,244.5 ",,"6,766.8 ","11,220.5 ","4,453.8 ","549,155.0 ",,"533,994.9 ","404,992.8 ","129,002.1 ",,"161,701.3 ",,"544,228.4 ",,,,,,
4- 6.,"544,168.9 ","285,784.7 ","280,196.6 ","237,517.4 ","28,244.5 ","90,967.2 ","1,598.0 ","88,218.1 ","41,065.9 ",39.3 ,"8,251.3 ","55,494.9 ","47,243.7 ",,"8,178.2 ","12,027.0 ","3,848.8 ","552,347.1 ",,"535,917.7 ","406,594.3 ","129,323.3 ",,"160,277.6 ",,"542,531.7 ",,,,,,
7- 9.,"542,137.5 ","285,275.2 ","279,941.9 ","237,077.8 ","27,867.4 ","93,476.6 ","-1,283.4 ","89,248.1 ","40,337.5 ",-36.5 ,"7,252.6 ","56,544.8 ","49,292.2 ",,"8,126.3 ","12,105.6 ","3,979.3 ","550,263.8 ",,"534,884.9 ","405,335.8 ","129,549.1 ",,"161,681.5 ",,"543,457.4 ",,,,,,
10-12.,"546,253.6 ","287,863.8 ","282,573.7 ","239,468.7 ","28,241.6 ","95,954.1 ",286.5 ,"89,485.3 ","38,860.6 ",-68.4 ,"5,630.0 ","57,596.4 ","51,966.4 ",,"8,081.7 ","12,471.1 ","4,389.3 ","554,335.4 ",,"540,623.6 ","412,346.1 ","128,277.5 ",,"163,056.3 ",,"546,035.5 ",,,,,,
2001/ 1- 3.,"550,229.2 ","288,771.6 ","283,331.0 ","240,104.3 ","28,283.5 ","95,495.2 ","2,179.7 ","91,177.7 ","40,623.0 ",23.5 ,"3,674.8 ","56,139.3 ","52,464.5 ",,"8,386.1 ","12,851.6 ","4,465.5 ","558,615.3 ",,"546,554.4 ","414,730.1 ","131,824.3 ",,"164,401.8 ",,"548,026.0 ",,,,,,
4- 6.,"542,517.7 ","289,864.4 ","284,214.5 ","240,658.8 ","26,802.8 ","92,110.0 ","2,456.3 ","91,214.0 ","38,139.8 ",-174.5 ,"2,105.0 ","53,953.7 ","51,848.7 ",,"8,151.2 ","12,379.0 ","4,227.7 ","550,668.9 ",,"540,412.7 ","411,233.5 ","129,179.2 ",,"157,052.5 ",,"540,236.0 ",,,,,,
7- 9.,"534,273.4 ","288,052.6 ","282,280.5 ","238,520.7 ","26,489.6 ","90,102.8 ","-2,230.4 ","91,705.2 ","37,804.7 ",-212.4 ,"2,561.3 ","52,389.0 ","49,827.7 ",,"8,026.7 ","12,023.7 ","3,996.9 ","542,300.1 ",,"531,712.1 ","402,414.6 ","129,297.5 ",,"154,397.0 ",,"536,716.1 ",,,,,,
10-12.,"531,827.6 ","286,646.2 ","280,875.9 ","236,922.6 ","26,566.8 ","86,241.0 ","-1,226.3 ","92,368.2 ","36,773.2 ",-29.1 ,"4,487.6 ","51,977.8 ","47,490.2 ",,"8,479.2 ","11,973.4 ","3,494.3 ","540,306.8 ",,"527,340.0 ","398,227.7 ","129,112.3 ",,"149,581.0 ",,"533,083.1 ",,,,,,
2002/ 1- 3.,"533,966.1 ","287,466.6 ","281,826.6 ","237,740.1 ","26,234.4 ","85,704.0 ","-3,230.8 ","94,773.5 ","37,100.0 ",-93.5 ,"6,012.0 ","54,786.4 ","48,774.4 ",,"8,285.0 ","11,461.6 ","3,176.6 ","542,251.1 ",,"527,954.2 ","396,174.1 ","131,780.0 ",,"149,038.4 ",,"537,290.4 ",,,,,,
