cat01_code,cat01_name,cat02_code,cat02_name,value,unit
0501100,201306,1106100000,1106100000 電気機械工業,98.1,
0501100,201306,1106200000,1106200000 情報通信機械工業,127.2,
0501100,201306,1107000000,1107000000 輸送機械工業,98.6,
0501100,201306,1108000000,1108000000 窯業・土石製品工業,100.2,
0501100,201306,1109000000,1109000000 化学工業,103.9,
0501100,201306,1111000000,1111000000 石油・石炭製品工業,96.9,
0501100,201306,1113000000,1113000000 パルプ・紙・紙加工品工業,100.1,
0501100,201306,1115000000,1115000000 その他工業,102.3,
0501100,201306,1115100000,1115100000 繊維工業,99,
0501100,201306,1115600000,1115600000 その他製品工業,104.8,
0501100,201306,4100100000,4100100000 機械工業,97,
0501100,201306,4100200000,4100200000 製造工業（除．機械工業）,100.4,
0501100,201306,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,88.6,
0501100,201306,4300001000,4300001000 <旧特掲>家庭用電気製品,99.5,
0501100,201306,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,98.6,
0501100,201306,4300003000,4300003000 <旧特掲>石油化学製品,106,
0501300,201307,1100000000,1100000000 製造工業,100.1,
0501300,201307,1101000000,1101000000 鉄鋼・非鉄金属工業,101.1,
0501300,201307,1101100000,1101100000 鉄鋼業,102.7,
0501300,201307,1101200000,1101200000 非鉄金属工業,97.6,
0501300,201307,1102000000,1102000000 金属製品工業,93.3,
0501300,201307,1103000000,1103000000 生産用機械工業,87.7,
0501300,201307,1104000000,1104000000 汎用・業務用機械工業,98.5,
0501300,201307,1105000000,1105000000 電子部品・デバイス工業,95.7,
0501300,201307,1106000000,1106000000 電気・情報通信機械工業,112.5,
0501300,201307,1106100000,1106100000 電気機械工業,102.9,
0501300,201307,1106200000,1106200000 情報通信機械工業,137.7,
0501300,201307,1107000000,1107000000 輸送機械工業,101.4,
0501300,201307,1108000000,1108000000 窯業・土石製品工業,100.8,
0501300,201307,1109000000,1109000000 化学工業,100,
0501300,201307,1111000000,1111000000 石油・石炭製品工業,95.9,
0501300,201307,1113000000,1113000000 パルプ・紙・紙加工品工業,100.3,
0501300,201307,1115000000,1115000000 その他工業,102.9,
0501300,201307,1115100000,1115100000 繊維工業,99.4,
0501300,201307,1115600000,1115600000 その他製品工業,105.5,
0501300,201307,4100100000,4100100000 機械工業,100.4,
0501300,201307,4100200000,4100200000 製造工業（除．機械工業）,99.8,
0501300,201307,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,92.3,
0501300,201307,4300001000,4300001000 <旧特掲>家庭用電気製品,104.7,
0501300,201307,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,101.3,
0501300,201307,4300003000,4300003000 <旧特掲>石油化学製品,99.2,
0501500,201308,1100000000,1100000000 製造工業,99.7,
0501500,201308,1101000000,1101000000 鉄鋼・非鉄金属工業,100.9,
0501500,201308,1101100000,1101100000 鉄鋼業,102.3,
0501500,201308,1101200000,1101200000 非鉄金属工業,98,
0501500,201308,1102000000,1102000000 金属製品工業,93.7,
0501500,201308,1103000000,1103000000 生産用機械工業,87.3,
0501500,201308,1104000000,1104000000 汎用・業務用機械工業,99.3,
0501500,201308,1105000000,1105000000 電子部品・デバイス工業,95.5,
0501500,201308,1106000000,1106000000 電気・情報通信機械工業,113.3,
0501500,201308,1106100000,1106100000 電気機械工業,102.4,
0501500,201308,1106200000,1106200000 情報通信機械工業,142.3,
0501500,201308,1107000000,1107000000 輸送機械工業,102.7,
0501500,201308,1108000000,1108000000 窯業・土石製品工業,103,
0501500,201308,1109000000,1109000000 化学工業,95.3,
0501500,201308,1111000000,1111000000 石油・石炭製品工業,98.4,
0501500,201308,1113000000,1113000000 パルプ・紙・紙加工品工業,102,
0501500,201308,1115000000,1115000000 その他工業,102.9,
0501500,201308,1115100000,1115100000 繊維工業,99.4,
0501500,201308,1115600000,1115600000 その他製品工業,105.2,
0501500,201308,4100100000,4100100000 機械工業,100.1,
0501500,201308,4100200000,4100200000 製造工業（除．機械工業）,98.8,
0501500,201308,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,92.3,
0501500,201308,4300001000,4300001000 <旧特掲>家庭用電気製品,105.6,
0501500,201308,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,102.7,
0501500,201308,4300003000,4300003000 <旧特掲>石油化学製品,92.8,
0501700,201309,1100000000,1100000000 製造工業,101.4,
0501700,201309,1101000000,1101000000 鉄鋼・非鉄金属工業,102.5,
0501700,201309,1101100000,1101100000 鉄鋼業,105,
0501700,201309,1101200000,1101200000 非鉄金属工業,97.6,
0501700,201309,1102000000,1102000000 金属製品工業,95.7,
0501700,201309,1103000000,1103000000 生産用機械工業,91,
0501700,201309,1104000000,1104000000 汎用・業務用機械工業,100.3,
0501700,201309,1105000000,1105000000 電子部品・デバイス工業,91.7,
0501700,201309,1106000000,1106000000 電気・情報通信機械工業,114.3,
0501700,201309,1106100000,1106100000 電気機械工業,102.4,
0501700,201309,1106200000,1106200000 情報通信機械工業,140.2,
0501700,201309,1107000000,1107000000 輸送機械工業,105.2,
0501700,201309,1108000000,1108000000 窯業・土石製品工業,103.2,
0501700,201309,1109000000,1109000000 化学工業,98.9,
0501700,201309,1111000000,1111000000 石油・石炭製品工業,97.2,
0501700,201309,1113000000,1113000000 パルプ・紙・紙加工品工業,100.9,
0501700,201309,1115000000,1115000000 その他工業,102.6,
0501700,201309,1115100000,1115100000 繊維工業,98.7,
0501700,201309,1115600000,1115600000 その他製品工業,105.4,
0501700,201309,4100100000,4100100000 機械工業,102.4,
0501700,201309,4100200000,4100200000 製造工業（除．機械工業）,100,
0501700,201309,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,94.6,
0501700,201309,4300001000,4300001000 <旧特掲>家庭用電気製品,107,
0501700,201309,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,105.2,
0501700,201309,4300003000,4300003000 <旧特掲>石油化学製品,97.8,
0501900,201310,1100000000,1100000000 製造工業,101.4,
0501900,201310,1101000000,1101000000 鉄鋼・非鉄金属工業,102.4,
0501900,201310,1101100000,1101100000 鉄鋼業,104.1,
0501900,201310,1101200000,1101200000 非鉄金属工業,98.7,
0501900,201310,1102000000,1102000000 金属製品工業,93.5,
0501900,201310,1103000000,1103000000 生産用機械工業,92.6,
0501900,201310,1104000000,1104000000 汎用・業務用機械工業,100.4,
0501900,201310,1105000000,1105000000 電子部品・デバイス工業,91.2,
0501900,201310,1106000000,1106000000 電気・情報通信機械工業,116.1,
0501900,201310,1106100000,1106100000 電気機械工業,106.6,
0501900,201310,1106200000,1106200000 情報通信機械工業,139.4,
0501900,201310,1107000000,1107000000 輸送機械工業,104.6,
0501900,201310,1108000000,1108000000 窯業・土石製品工業,102.7,
0501900,201310,1109000000,1109000000 化学工業,99.6,
0501900,201310,1111000000,1111000000 石油・石炭製品工業,94.4,
0501900,201310,1113000000,1113000000 パルプ・紙・紙加工品工業,101.3,
0501900,201310,1115000000,1115000000 その他工業,103.5,
0501900,201310,1115100000,1115100000 繊維工業,100.5,
0501900,201310,1115600000,1115600000 その他製品工業,105.2,
0501900,201310,4100100000,4100100000 機械工業,102.2,
0501900,201310,4100200000,4100200000 製造工業（除．機械工業）,100.3,
0501900,201310,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,96,
0501900,201310,4300001000,4300001000 <旧特掲>家庭用電気製品,106.7,
0501900,201310,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,104.7,
0501900,201310,4300003000,4300003000 <旧特掲>石油化学製品,98.3,
0502100,201311,1100000000,1100000000 製造工業,102.2,
0502100,201311,1101000000,1101000000 鉄鋼・非鉄金属工業,104,
0502100,201311,1101100000,1101100000 鉄鋼業,106.7,
0502100,201311,1101200000,1101200000 非鉄金属工業,98.8,
0502100,201311,1102000000,1102000000 金属製品工業,92,
0502100,201311,1103000000,1103000000 生産用機械工業,92.4,
0502100,201311,1104000000,1104000000 汎用・業務用機械工業,100.7,
0502100,201311,1105000000,1105000000 電子部品・デバイス工業,87.5,
0502100,201311,1106000000,1106000000 電気・情報通信機械工業,117.4,
0502100,201311,1106100000,1106100000 電気機械工業,108,
0502100,201311,1106200000,1106200000 情報通信機械工業,141.1,
0502100,201311,1107000000,1107000000 輸送機械工業,105.7,
0502100,201311,1108000000,1108000000 窯業・土石製品工業,102.7,
0502100,201311,1109000000,1109000000 化学工業,100.5,
0502100,201311,1111000000,1111000000 石油・石炭製品工業,98.1,
0502100,201311,1113000000,1113000000 パルプ・紙・紙加工品工業,100.6,
0502100,201311,1115000000,1115000000 その他工業,102.7,
0502100,201311,1115100000,1115100000 繊維工業,101.5,
0502100,201311,1115600000,1115600000 その他製品工業,102.9,
0502100,201311,4100100000,4100100000 機械工業,102.9,
0502100,201311,4100200000,4100200000 製造工業（除．機械工業）,100.8,
0502100,201311,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,96,
0502100,201311,4300001000,4300001000 <旧特掲>家庭用電気製品,112,
0502100,201311,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,105.7,
0502100,201311,4300003000,4300003000 <旧特掲>石油化学製品,99.3,
0502300,201312,1100000000,1100000000 製造工業,102.3,
0502300,201312,1101000000,1101000000 鉄鋼・非鉄金属工業,105.1,
0502300,201312,1101100000,1101100000 鉄鋼業,106.8,
0502300,201312,1101200000,1101200000 非鉄金属工業,101.1,
0502300,201312,1102000000,1102000000 金属製品工業,96.9,
0502300,201312,1103000000,1103000000 生産用機械工業,93.7,
0502300,201312,1104000000,1104000000 汎用・業務用機械工業,100.8,
0502300,201312,1105000000,1105000000 電子部品・デバイス工業,92,
0502300,201312,1106000000,1106000000 電気・情報通信機械工業,118.3,
0502300,201312,1106100000,1106100000 電気機械工業,109.3,
0502300,201312,1106200000,1106200000 情報通信機械工業,140.5,
0502300,201312,1107000000,1107000000 輸送機械工業,103,
0502300,201312,1108000000,1108000000 窯業・土石製品工業,103.5,
0502300,201312,1109000000,1109000000 化学工業,99.8,
0502300,201312,1111000000,1111000000 石油・石炭製品工業,97.4,
0502300,201312,1113000000,1113000000 パルプ・紙・紙加工品工業,100.9,
0502300,201312,1115000000,1115000000 その他工業,104.7,
0502300,201312,1115100000,1115100000 繊維工業,100.8,
0502300,201312,1115600000,1115600000 その他製品工業,107.3,
0502300,201312,4100100000,4100100000 機械工業,102.9,
0502300,201312,4100200000,4100200000 製造工業（除．機械工業）,101.4,
0502300,201312,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,97.1,
0502300,201312,4300001000,4300001000 <旧特掲>家庭用電気製品,112.9,
