名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
10-12.,"527,862.6 ","286,608.4 ","280,371.7 ","238,151.1 ","24,526.2 ","83,358.3 ","-3,515.4 ","85,918.0 ","43,678.7 ",-337.2 ,"7,625.6 ","52,769.6 ","45,144.0 ",,"7,072.6 ","10,815.6 ","3,743.0 ","534,935.2 ",,"520,237.1 ","390,977.6 ","129,259.5 ",,"151,563.2 ",,"531,715.2 ",,,,,,
2000/ 1- 3.,"535,133.8 ","287,787.7 ","281,824.8 ","239,378.4 ","24,882.6 ","86,691.9 ","-1,606.9 ","87,357.6 ","41,479.4 ",152.0 ,"8,389.7 ","54,638.6 ","46,248.9 ",,"6,766.7 ","11,220.5 ","4,453.8 ","541,900.6 ",,"526,744.2 ","397,755.2 ","128,989.0 ",,"153,053.8 ",,"536,588.8 ",,,,,,
4- 6.,"535,358.7 ","286,349.0 ","280,744.5 ","238,064.2 ","25,384.2 ","84,798.8 ","1,202.1 ","88,273.7 ","41,061.0 ",39.3 ,"8,250.5 ","55,494.1 ","47,243.6 ",,"8,178.2 ","12,027.0 ","3,848.8 ","543,536.8 ",,"527,108.1 ","397,734.1 ","129,374.0 ",,"151,244.0 ",,"534,117.3 ",,,,,,
7- 9.,"534,440.1 ","286,344.7 ","280,996.7 ","238,125.3 ","24,993.3 ","87,439.4 ","-1,154.2 ","89,286.3 ","40,310.0 ",-35.2 ,"7,255.9 ","56,544.4 ","49,288.4 ",,"8,126.3 ","12,105.6 ","3,979.2 ","542,566.4 ",,"527,184.1 ","397,623.1 ","129,561.1 ",,"152,742.6 ",,"535,629.5 ",,,,,,
10-12.,"537,843.4 ","288,795.0 ","283,491.3 ","240,379.6 ","25,376.4 ","89,570.0 ",160.6 ,"89,542.7 ","38,835.9 ",-68.4 ,"5,631.4 ","57,597.1 ","51,965.7 ",,"8,081.7 ","12,471.0 ","4,389.3 ","545,925.1 ",,"532,212.0 ","403,901.8 ","128,310.2 ",,"153,782.2 ",,"537,751.2 ",,,,,,
2001/ 1- 3.,"542,552.7 ","290,567.4 ","285,108.0 ","241,876.9 ","25,325.3 ","89,305.8 ","1,979.7 ","91,120.6 ","40,559.6 ",24.4 ,"3,669.8 ","56,140.3 ","52,470.6 ",,"8,386.0 ","12,851.5 ","4,465.5 ","550,938.7 ",,"538,882.9 ","407,178.2 ","131,704.6 ",,"155,190.8 ",,"540,548.5 ",,,,,,
4- 6.,"534,253.7 ","290,638.4 ","284,971.7 ","241,414.6 ","23,880.4 ","86,292.0 ","2,236.0 ","91,173.3 ","38,104.1 ",-174.5 ,"2,104.0 ","53,952.3 ","51,848.4 ",,"8,151.3 ","12,379.0 ","4,227.7 ","542,405.0 ",,"532,149.7 ","403,046.8 ","129,102.9 ",,"148,276.5 ",,"532,192.2 ",,,,,,
7- 9.,"527,026.0 ","289,490.4 ","283,704.9 ","239,947.2 ","23,568.4 ","84,252.2 ","-2,097.9 ","91,675.4 ","37,782.4 ",-211.0 ,"2,566.1 ","52,388.7 ","49,822.6 ",,"8,026.8 ","12,023.7 ","3,996.9 ","535,052.8 ",,"524,459.9 ","395,213.1 ","129,246.8 ",,"145,603.0 ",,"529,334.9 ",,,,,,
10-12.,"523,926.1 ","287,345.0 ","281,561.5 ","237,607.7 ","23,601.7 ","80,422.9 ",-996.2 ,"92,347.0 ","36,748.0 ",-30.7 ,"4,488.2 ","51,978.9 ","47,490.7 ",,"8,479.1 ","11,973.4 ","3,494.3 ","532,405.2 ",,"519,437.9 ","390,373.5 ","129,064.4 ",,"140,772.6 ",,"524,952.9 ",,,,,,
2002/ 1- 3.,"525,460.8 ","288,371.7 ","282,717.4 ","238,630.9 ","23,313.6 ","79,517.7 ","-3,282.2 ","94,541.0 ","37,082.5 ",-91.3 ,"6,007.9 ","54,787.4 ","48,779.4 ",,"8,284.8 ","11,461.4 ","3,176.7 ","533,745.6 ",,"519,452.9 ","387,920.8 ","131,532.1 ",,"139,913.7 ",,"528,834.4 ",,,,,,
4- 6.,"524,239.7 ","289,689.3 ","284,235.3 ","240,124.3 ","23,274.3 ","77,841.0 ","-2,482.1 ","92,491.1 ","35,923.9 ",-25.9 ,"7,528.2 ","57,277.4 ","49,749.2 ",,"7,454.2 ","10,780.2 ","3,326.0 ","531,693.9 ",,"516,711.5 ","388,322.4 ","128,389.1 ",,"137,039.2 ",,"526,747.7 ",,,,,,
7- 9.,"524,193.6 ","289,352.9 ","284,043.5 ","239,795.5 ","23,236.9 ","78,635.4 ","-1,520.5 ","93,021.2 ","35,675.2 ",-50.0 ,"5,842.5 ","55,945.3 ","50,102.8 ",,"7,593.8 ","11,061.1 ","3,467.4 ","531,787.4 ",,"518,351.1 ","389,704.7 ","128,646.4 ",,"137,547.4 ",,"525,764.0 ",,,,,,
10-12.,"524,421.6 ","287,914.9 ","282,600.5 ","238,232.5 ","22,893.2 ","78,430.7 ",318.7 ,"92,770.1 ","35,100.4 ",-156.8 ,"7,150.3 ","59,593.2 ","52,442.9 ",,"7,208.2 ","10,583.7 ","3,375.5 ","531,629.8 ",,"517,271.4 ","389,557.6 ","127,713.7 ",,"136,424.4 ",,"524,259.7 ",,,,,,
2003/ 1- 3.,"521,369.3 ","288,503.0 ","283,033.2 ","238,519.7 ","22,769.0 ","78,088.4 ",-353.0 ,"92,642.3 ","33,995.4 ",-67.7 ,"5,791.9 ","58,667.5 ","52,875.6 ",,"7,801.4 ","10,985.5 ","3,184.1 ","529,170.7 ",,"515,577.4 ","389,007.4 ","126,570.0 ",,"134,852.8 ",,"521,790.0 ",,,,,,
4- 6.,"524,525.4 ","286,806.3 ","281,148.5 ","236,446.0 ","22,839.8 ","78,712.7 ",-783.9 ,"94,409.0 ","33,996.7 ",71.2 ,"8,473.7 ","58,913.1 ","50,439.4 ",,"8,031.9 ","10,999.9 ","2,968.0 ","532,557.4 ",,"516,051.8 ","387,574.9 ","128,476.9 ",,"135,549.2 ",,"525,238.2 ",,,,,,
7- 9.,"524,374.1 ","286,285.7 ","280,508.4 ","235,609.9 ","23,402.5 ","77,186.4 ","1,673.2 ","93,875.5 ","33,107.2 ",-86.0 ,"8,929.5 ","60,544.8 ","51,615.3 ",,"9,531.1 ","12,391.6 ","2,860.5 ","533,905.2 ",,"515,444.5 ","388,547.8 ","126,896.7 ",,"133,696.2 ",,"522,786.9 ",,,,,,
10-12.,"526,400.2 ","289,338.1 ","283,522.7 ","238,511.7 ","23,006.7 ","79,970.6 ",-879.3 ,"92,644.3 ","32,322.3 ",-315.8 ,"10,313.5 ","61,940.3 ","51,626.8 ",,"8,474.1 ","11,201.9 ","2,727.8 ","534,874.3 ",,"516,086.8 ","391,436.0 ","124,650.8 ",,"135,299.5 ",,"527,595.3 ",,,,,,
2004/ 1- 3.,"529,372.9 ","289,357.5 ","283,591.0 ","238,278.6 ","23,334.7 ","79,463.7 ","2,771.0 ","93,253.2 ","30,910.7 ",-326.4 ,"10,608.5 ","64,865.4 ","54,256.8 ",,"9,488.0 ","12,196.9 ","2,708.9 ","538,861.0 ",,"518,764.4 ","394,927.0 ","123,837.4 ",,"133,709.1 ",,"526,928.3 ",,,,,,
4- 6.,"527,644.6 ","289,030.5 ","283,336.2 ","237,819.3 ","23,767.2 ","79,091.3 ",768.3 ,"93,501.3 ","30,708.5 ",97.4 ,"10,680.1 ","67,343.5 ","56,663.4 ",,"10,201.8 ","13,111.8 ","2,910.0 ","537,846.4 ",,"516,964.5 ","392,657.2 ","124,307.2 ",,"133,567.0 ",,"526,778.9 ",,,,,,
7- 9.,"530,486.4 ","290,769.8 ","285,110.7 ","239,402.9 ","23,866.9 ","79,950.4 ","1,875.5 ","93,854.7 ","30,198.6 ",88.9 ,"9,881.6 ","68,715.5 ","58,833.9 ",,"10,478.2 ","13,615.1 ","3,136.8 ","540,964.6 ",,"520,604.8 ","396,462.6 ","124,142.2 ",,"134,016.0 ",,"528,522.0 ",,,,,,
10-12.,"529,913.7 ","289,436.4 ","283,761.7 ","237,836.5 ","23,905.7 ","81,412.0 ","1,504.1 ","94,387.0 ","29,920.8 ",186.8 ,"9,160.9 ","69,573.1 ","60,412.2 ",,"10,923.1 ","14,238.0 ","3,314.8 ","540,836.8 ",,"520,752.8 ","396,258.1 ","124,494.7 ",,"135,238.4 ",,"528,222.8 ",,,,,,
2005/ 1- 3.,"529,917.7 ","290,127.3 ","284,397.8 ","238,263.0 ","23,518.3 ","83,434.1 ","1,337.1 ","94,139.6 ","29,289.6 ",160.8 ,"7,910.9 ","68,319.2 ","60,408.3 ",,"10,423.9 ","14,358.2 ","3,934.3 ","540,341.7 ",,"522,006.8 ","398,416.8 ","123,590.0 ",,"136,242.0 ",,"528,419.8 ",,,,,,
4- 6.,"531,327.5 ","290,969.9 ","285,162.8 ","238,817.3 ","23,396.6 ","86,358.1 ","1,110.6 ","94,414.3 ","27,513.9 ",-2.5 ,"7,566.7 ","71,546.3 ","63,979.6 ",,"11,660.7 ","15,806.2 ","4,145.5 ","542,988.2 ",,"523,760.8 ","401,835.1 ","121,925.7 ",,"137,268.6 ",,"530,219.4 ",,,,,,
7- 9.,"534,598.6 ","293,069.3 ","287,196.4 ","240,619.7 ","23,868.6 ","88,052.3 ",713.8 ,"94,459.1 ","28,069.1 ",24.6 ,"6,341.8 ","74,497.5 ","68,155.7 ",,"12,356.8 ","16,545.2 ","4,188.3 ","546,955.5 ",,"528,256.8 ","405,704.0 ","122,552.8 ",,"139,990.1 ",,"533,860.3 ",,,,,,
10-12.,"534,734.0 ","293,216.5 ","287,301.6 ","240,432.7 ","24,208.7 ","86,856.2 ",111.2 ,"94,744.4 ","27,565.8 ",39.0 ,"7,992.3 ","79,575.8 ","71,583.5 ",,"13,262.8 ","18,002.3 ","4,739.5 ","547,996.8 ",,"526,741.7 ","404,392.5 ","122,349.2 ",,"138,630.7 ",,"534,583.8 ",,,,,,
2006/ 1- 3.,"534,544.9 ","295,062.9 ","289,133.9 ","242,086.0 ","24,039.8 ","86,659.1 ",-203.7 ,"94,268.9 ","28,466.9 ",27.6 ,"6,223.3 ","81,084.7 ","74,861.5 ",,"14,010.9 ","19,170.8 ","5,159.9 ","548,555.8 ",,"528,321.6 ","405,558.2 ","122,763.4 ",,"139,165.8 ",,"534,721.0 ",,,,,,
4- 6.,"533,998.1 ","294,203.4 ","288,234.6 ","240,992.6 ","24,102.7 ","88,077.4 ",-220.4 ,"94,285.7 ","27,407.6 ",-38.6 ,"6,180.3 ","81,997.7 ","75,817.4 ",,"13,879.2 ","19,413.4 ","5,534.2 ","547,877.3 ",,"527,817.7 ","406,163.0 ","121,654.7 ",,"139,587.6 ",,"534,257.1 ",,,,,,
7- 9.,"532,261.0 ","292,478.2 ","286,459.6 ","239,089.1 ","24,268.5 ","88,166.5 ",605.4 ,"94,094.6 ","26,049.3 ",23.4 ,"6,575.0 ","84,987.0 ","78,412.1 ",,"14,500.2 ","20,181.2 ","5,681.0 ","546,761.2 ",,"525,686.0 ","405,518.7 ","120,167.3 ",,"138,484.4 ",,"531,632.1 ",,,,,,
10-12.,"539,891.2 ","296,202.9 ","290,182.2 ","242,630.0 ","24,323.3 ","89,801.8 ",675.2 ,"93,938.1 ","26,415.8 ",-32.2 ,"8,566.2 ","86,830.3 ","78,264.0 ",,"15,328.0 ","21,638.3 ","6,310.3 ","555,219.2 ",,"531,324.9 ","411,003.3 ","120,321.7 ",,"140,540.9 ",,"539,248.1 ",,,,,,
2007/ 1- 3.,"541,962.1 ","295,625.2 ","289,650.4 ","241,861.4 ","24,123.1 ","89,957.2 ","2,397.4 ","94,045.3 ","26,350.3 ",-55.7 ,"9,519.2 ","89,872.8 ","80,353.6 ",,"16,363.6 ","23,077.0 ","6,713.4 ","558,325.7 ",,"532,442.9 ","412,102.9 ","120,340.0 ",,"140,430.7 ",,"539,620.4 ",,,,,,
4- 6.,"542,060.4 ","297,212.0 ","291,287.5 ","243,311.2 ","23,846.4 ","89,122.7 ","1,040.9 ","95,366.2 ","25,803.9 ",137.9 ,"9,530.3 ","93,326.2 ","83,795.9 ",,"17,109.7 ","23,374.7 ","6,265.0 ","559,170.0 ",,"532,530.1 ","411,222.1 ","121,308.0 ",,"138,773.0 ",,"540,881.5 ",,,,,,
7- 9.,"536,493.6 ","294,207.2 ","288,319.1 ","240,132.9 ","21,918.1 ","87,921.7 ","1,402.8 ","94,810.1 ","25,503.8 ",42.8 ,"10,687.2 ","94,290.2 ","83,603.0 ",,"15,352.5 ","23,395.1 ","8,042.6 ","551,846.1 ",,"525,806.3 ","405,449.7 ","120,356.6 ",,"135,343.5 ",,"535,048.0 ",,,,,,
10-12.,"536,783.9 ","295,858.7 ","289,999.3 ","241,628.6 ","19,565.9 ","87,928.6 ","2,946.2 ","96,011.2 ","26,188.6 ",63.5 ,"8,221.3 ","95,452.0 ","87,230.7 ",,"17,169.4 ","24,275.9 ","7,106.6 ","553,953.3 ",,"528,562.7 ","406,299.4 ","122,263.3 ",,"133,683.1 ",,"533,774.3 ",,,,,,
2008/ 1- 3.,"537,630.5 ","298,127.6 ","292,286.8 ","243,676.5 ","20,306.2 ","88,863.6 ","1,650.3 ","96,011.1 ","25,731.6 ",170.8 ,"6,769.3 ","95,310.4 ","88,541.2 ",,"16,630.5 ","22,794.2 ","6,163.7 ","554,261.0 ",,"530,861.2 ","408,947.7 ","121,913.5 ",,"134,901.5 ",,"535,809.4 ",,,,,,
