cat01_code,cat01_name,cat02_code,cat02_name,area_code,area_name,time_code,time_name,value,unit
30301000,30301_原油及び粗油,130,1月_数量,50205,205_英国,2011000000,2011年,0,
30301000,30301_原油及び粗油,130,1月_数量,50213,213_ドイツ,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50224,224_ロシア,2015000000,2015年,1668918,
30301000,30301_原油及び粗油,130,1月_数量,50224,224_ロシア,2014000000,2014年,1023421,
30301000,30301_原油及び粗油,130,1月_数量,50224,224_ロシア,2013000000,2013年,1062270,
30301000,30301_原油及び粗油,130,1月_数量,50224,224_ロシア,2012000000,2012年,906946,
30301000,30301_原油及び粗油,130,1月_数量,50224,224_ロシア,2011000000,2011年,1421437,
30301000,30301_原油及び粗油,130,1月_数量,50304,304_アメリカ合衆国,2015000000,2015年,0,
30301000,30301_原油及び粗油,130,1月_数量,50304,304_アメリカ合衆国,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50305,305_メキシコ,2015000000,2015年,0,
30301000,30301_原油及び粗油,130,1月_数量,50305,305_メキシコ,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50315,315_バハマ,2015000000,2015年,0,
30301000,30301_原油及び粗油,130,1月_数量,50315,315_バハマ,2013000000,2013年,0,
30301000,30301_原油及び粗油,130,1月_数量,50401,401_コロンビア,2015000000,2015年,151795,
30301000,30301_原油及び粗油,130,1月_数量,50401,401_コロンビア,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50401,401_コロンビア,2011000000,2011年,0,
30301000,30301_原油及び粗油,130,1月_数量,50402,402_ベネズエラ,2015000000,2015年,41429,
30301000,30301_原油及び粗油,130,1月_数量,50402,402_ベネズエラ,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50402,402_ベネズエラ,2013000000,2013年,0,
30301000,30301_原油及び粗油,130,1月_数量,50402,402_ベネズエラ,2012000000,2012年,79668,
30301000,30301_原油及び粗油,130,1月_数量,50406,406_エクアドル,2015000000,2015年,173209,
30301000,30301_原油及び粗油,130,1月_数量,50406,406_エクアドル,2014000000,2014年,119554,
30301000,30301_原油及び粗油,130,1月_数量,50406,406_エクアドル,2013000000,2013年,60056,
30301000,30301_原油及び粗油,130,1月_数量,50406,406_エクアドル,2012000000,2012年,141363,
30301000,30301_原油及び粗油,130,1月_数量,50406,406_エクアドル,2011000000,2011年,97281,
30301000,30301_原油及び粗油,130,1月_数量,50410,410_ブラジル,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50413,413_アルゼンチン,2012000000,2012年,0,
30301000,30301_原油及び粗油,130,1月_数量,50503,503_アルジェリア,2013000000,2013年,0,
30301000,30301_原油及び粗油,130,1月_数量,50503,503_アルジェリア,2011000000,2011年,0,
30301000,30301_原油及び粗油,130,1月_数量,50505,505_リビア,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50505,505_リビア,2013000000,2013年,85564,
30301000,30301_原油及び粗油,130,1月_数量,50505,505_リビア,2012000000,2012年,0,
30301000,30301_原油及び粗油,130,1月_数量,50507,507_スーダン,2015000000,2015年,41564,
30301000,30301_原油及び粗油,130,1月_数量,50507,507_スーダン,2014000000,2014年,12115,
30301000,30301_原油及び粗油,130,1月_数量,50507,507_スーダン,2013000000,2013年,45812,
30301000,30301_原油及び粗油,130,1月_数量,50507,507_スーダン,2012000000,2012年,120622,
30301000,30301_原油及び粗油,130,1月_数量,50507,507_スーダン,2011000000,2011年,419459,
30301000,30301_原油及び粗油,130,1月_数量,50524,524_ナイジェリア,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50524,524_ナイジェリア,2013000000,2013年,0,
30301000,30301_原油及び粗油,130,1月_数量,50524,524_ナイジェリア,2012000000,2012年,0,
30301000,30301_原油及び粗油,130,1月_数量,50524,524_ナイジェリア,2011000000,2011年,0,
30301000,30301_原油及び粗油,130,1月_数量,50527,527_カメルーン,2013000000,2013年,0,
30301000,30301_原油及び粗油,130,1月_数量,50528,528_チャド,2015000000,2015年,51707,
30301000,30301_原油及び粗油,130,1月_数量,50528,528_チャド,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50528,528_チャド,2013000000,2013年,5649,
30301000,30301_原油及び粗油,130,1月_数量,50528,528_チャド,2012000000,2012年,0,
30301000,30301_原油及び粗油,130,1月_数量,50530,530_赤道ギニア,2012000000,2012年,0,
30301000,30301_原油及び粗油,130,1月_数量,50531,531_ガボン,2015000000,2015年,208310,
30301000,30301_原油及び粗油,130,1月_数量,50531,531_ガボン,2014000000,2014年,351584,
30301000,30301_原油及び粗油,130,1月_数量,50531,531_ガボン,2013000000,2013年,406202,
30301000,30301_原油及び粗油,130,1月_数量,50531,531_ガボン,2012000000,2012年,73503,
30301000,30301_原油及び粗油,130,1月_数量,50531,531_ガボン,2011000000,2011年,0,
