実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"486,946.6 ","269,693.9 ","265,053.7 ","224,459.5 ","26,973.0 ","80,839.1 ",268.1 ,"86,040.3 ","41,059.6 ",-73.5 ,"-13,230.1 ","52,968.8 ","66,198.9 ","-4,623.9 ",,"19,355.1 ","506,301.7 ","7,672.0 ","11,819.2 ","4,147.2 ","513,973.7 ",,"503,253.5 ","377,685.0 ","125,585.2 ",,"147,480.3 ",,"486,227.3 ",,,
2001/ 1- 3.,"490,512.0 ","271,247.6 ","266,435.5 ","225,597.7 ","26,979.7 ","81,265.8 ","2,148.9 ","86,182.3 ","43,067.7 ",17.8 ,"-15,263.4 ","51,054.1 ","66,317.4 ","-5,134.3 ",,"19,229.2 ","509,741.2 ","7,943.8 ","12,164.4 ","4,220.6 ","517,685.0 ",,"509,013.5 ","381,401.5 ","127,667.6 ",,"149,751.1 ",,"488,054.6 ",,,
4- 6.,"486,868.2 ","273,499.6 ","268,474.8 ","227,404.4 ","25,461.1 ","79,098.7 ","2,335.4 ","86,935.3 ","40,506.1 ",-213.9 ,"-15,718.6 ","49,152.5 ","64,871.0 ","-5,035.6 ",,"17,986.0 ","504,854.2 ","7,746.5 ","11,766.2 ","4,019.7 ","512,600.8 ",,"506,086.3 ","380,242.1 ","125,850.9 ",,"143,754.4 ",,"484,438.1 ",,,
7- 9.,"481,574.1 ","273,348.6 ","268,198.4 ","226,895.4 ","25,326.6 ","77,644.1 ","-2,165.2 ","87,082.7 ","40,511.7 ",-243.2 ,"-14,883.5 ","48,072.5 ","62,955.9 ","-5,047.6 ",,"17,670.9 ","499,245.1 ","7,671.8 ","11,484.2 ","3,812.5 ","506,916.8 ",,"500,259.4 ","374,356.6 ","125,983.0 ",,"142,089.7 ",,"483,151.5 ",,,
10-12.,"479,921.4 ","272,912.4 ","267,741.2 ","226,212.6 ","25,452.9 ","74,594.7 ","-1,116.1 ","88,175.2 ","39,542.6 ",-24.6 ,"-13,944.1 ","47,152.2 ","61,096.2 ","-5,671.7 ",,"18,828.4 ","498,749.8 ","8,156.3 ","11,501.6 ","3,345.3 ","506,906.1 ",,"498,108.7 ","371,833.8 ","126,393.8 ",,"138,083.2 ",,"480,393.4 ",,,
2002/ 1- 3.,"480,709.8 ","274,455.4 ","269,373.4 ","227,609.3 ","25,206.9 ","73,956.7 ","-3,495.9 ","88,206.5 ","40,034.6 ",-81.5 ,"-12,303.7 ","49,304.5 ","61,608.2 ","-5,269.2 ",,"18,737.8 ","499,447.6 ","7,957.3 ","10,999.5 ","3,042.2 ","507,404.9 ",,"497,061.8 ","370,354.3 ","126,836.8 ",,"137,637.6 ",,"483,312.1 ",,,
4- 6.,"484,597.0 ","276,720.4 ","271,791.1 ","229,801.9 ","25,278.7 ","72,927.1 ","-2,443.7 ","88,525.5 ","38,943.5 ",-24.4 ,"-10,539.1 ","52,912.5 ","63,451.6 ","-4,791.1 ",,"18,724.0 ","503,321.1 ","7,188.6 ","10,396.6 ","3,208.0 ","510,509.6 ",,"498,734.7 ","372,599.8 ","126,226.5 ",,"135,623.1 ",,"486,222.7 ",,,
7- 9.,"486,159.1 ","276,970.4 ","272,144.4 ","229,943.6 ","25,217.3 ","74,123.9 ","-1,522.9 ","89,209.7 ","38,798.4 ",-65.6 ,"-12,266.6 ","53,285.3 ","65,551.9 ","-4,305.5 ",,"18,813.7 ","504,972.9 ","7,363.3 ","10,717.9 ","3,354.6 ","512,336.1 ",,"501,553.4 ","374,871.9 ","126,766.1 ",,"136,704.5 ",,"487,007.5 ",,,
10-12.,"487,512.1 ","276,320.3 ","271,464.3 ","229,049.2 ","24,894.3 ","74,180.2 ",490.2 ,"89,070.7 ","38,217.2 ",-171.5 ,"-11,396.7 ","55,127.8 ","66,524.6 ","-4,092.6 ",,"19,160.7 ","506,672.8 ","7,020.4 ","10,286.1 ","3,265.7 ","513,693.2 ",,"501,772.0 ","375,828.1 ","126,005.8 ",,"135,942.2 ",,"486,678.5 ",,,
2003/ 1- 3.,"487,793.9 ","277,440.4 ","272,425.4 ","229,783.7 ","24,752.2 ","74,469.2 ",-471.7 ,"89,547.5 ","36,975.8 ",-72.2 ,"-11,125.1 ","55,868.2 ","66,993.3 ","-3,722.1 ",,"17,504.7 ","505,298.6 ","7,620.8 ","10,720.1 ","3,099.3 ","512,919.4 ",,"501,648.6 ","376,242.7 ","125,464.1 ",,"134,982.6 ",,"487,722.8 ",,,
4- 6.,"491,109.8 ","276,926.0 ","271,717.8 ","228,853.0 ","24,892.1 ","75,611.8 ",-651.7 ,"90,342.7 ","37,120.3 ",74.6 ,"-8,782.1 ","55,987.1 ","64,769.1 ","-4,423.8 ",,"18,139.4 ","509,249.2 ","7,823.9 ","10,714.4 ","2,890.5 ","517,073.1 ",,"503,314.5 ","376,849.6 ","126,541.0 ",,"136,445.5 ",,"491,075.0 ",,,
7- 9.,"492,610.5 ","276,844.5 ","271,498.0 ","228,370.0 ","25,390.3 ","74,433.4 ","1,815.9 ","90,678.8 ","36,094.1 ",-98.3 ,"-8,352.0 ","57,995.6 ","66,347.6 ","-4,196.2 ",,"18,251.5 ","510,862.0 ","9,338.5 ","12,135.0 ","2,796.4 ","520,200.5 ",,"503,988.7 ","378,242.7 ","125,806.3 ",,"134,714.7 ",,"490,563.3 ",,,
10-12.,"497,994.3 ","280,625.2 ","275,227.4 ","231,986.5 ","25,071.3 ","77,427.0 ",-706.1 ,"91,066.5 ","35,259.2 ",-393.6 ,"-6,902.7 ","60,963.9 ","67,866.6 ","-3,452.5 ",,"18,602.3 ","516,596.7 ","8,367.5 ","11,039.5 ","2,671.9 ","524,964.2 ",,"507,677.5 ","382,519.6 ","125,187.9 ",,"136,813.6 ",,"498,393.8 ",,,
2004/ 1- 3.,"501,789.5 ","280,630.8 ","275,268.2 ","231,765.2 ","25,345.4 ","77,359.4 ","2,902.9 ","91,484.6 ","33,607.7 ",-341.2 ,"-5,958.8 ","63,970.5 ","69,929.3 ","-3,241.3 ",,"17,883.3 ","519,672.8 ","9,358.8 ","12,021.5 ","2,662.8 ","529,031.6 ",,"510,155.7 ","385,996.7 ","124,152.9 ",,"135,462.5 ",,"498,960.0 ",,,
4- 6.,"501,641.4 ","280,860.6 ","275,547.5 ","231,898.2 ","25,841.6 ","77,084.9 ","1,227.8 ","91,094.8 ","33,433.7 ",63.4 ,"-5,073.3 ","66,050.9 ","71,124.2 ","-2,892.1 ",,"16,887.6 ","518,529.0 ","10,035.5 ","12,894.5 ","2,859.0 ","528,564.5 ",,"508,815.1 ","384,857.6 ","123,952.8 ",,"135,466.0 ",,"499,949.7 ",,,
