scenario,variable,year,quarter,value
1,IHPV,2018,2,0.12500621
1,IHPV,2018,3,0.25462059
1,IHPV,2018,4,0.36947967
1,IHPV,2019,1,0.4772337
1,IHPV,2019,2,0.62494978
1,IHPV,2019,3,0.71901921
1,IHPV,2019,4,0.82868674
1,IHPV,2020,1,0.88762008
1,IHPV,2020,2,0.93919183
1,IHPV,2020,3,1.00662424
1,IHPV,2020,4,1.05456987
1,IGV,2018,1,20.32876527
1,IGV,2018,2,20.25247119
1,IGV,2018,3,20.34800719
1,IGV,2018,4,20.68222914
1,IGV,2019,1,20.34572095
1,IGV,2019,2,20.11990293
1,IGV,2019,3,20.36111906
1,IGV,2019,4,19.96234827
1,IGV,2020,1,20.31324311
1,IGV,2020,2,17.8099379
1,IGV,2020,3,19.02357355
1,IGV,2020,4,19.35542686
1,CGV,2018,1,0.0
1,CGV,2018,2,0.03000903
1,CGV,2018,3,0.06737261
1,CGV,2018,4,0.11623392
1,CGV,2019,1,0.1797632
1,CGV,2019,2,0.25617242
1,CGV,2019,3,0.34067888
1,CGV,2019,4,0.42844484
1,CGV,2020,1,0.52058448
1,CGV,2020,2,0.60874965
1,CGV,2020,3,0.69504079
1,CGV,2020,4,0.78437021
1,XGSV,2018,1,-0.00599935
1,XGSV,2018,2,-0.01425691
1,XGSV,2018,3,-0.02790531
1,XGSV,2018,4,-0.04606266
1,XGSV,2019,1,-0.06802199
1,XGSV,2019,2,-0.09409839
1,XGSV,2019,3,-0.12310744
1,XGSV,2019,4,-0.15503727
1,XGSV,2020,1,-0.18876832
1,XGSV,2020,2,-0.22381662
1,XGSV,2020,3,-0.26000521
1,XGSV,2020,4,-0.29734213
1,MGSV,2018,1,0.10907105
1,MGSV,2018,2,0.21179097
1,MGSV,2018,3,0.45349927
1,MGSV,2018,4,0.63310405
1,MGSV,2019,1,0.7168617
1,MGSV,2019,2,0.71884127
1,MGSV,2019,3,0.73111605
1,MGSV,2019,4,0.73662905
1,MGSV,2020,1,0.71490585
1,MGSV,2020,2,0.74761191
1,MGSV,2020,3,0.69769456
1,MGSV,2020,4,0.62281992
1,NIV,2018,1,1.43096569
1,NIV,2018,2,1.41058715
1,NIV,2018,3,1.51281759
1,NIV,2018,4,1.54128895
1,NIV,2019,1,1.54030142
1,NIV,2019,2,1.55654139
1,NIV,2019,3,1.52986176
1,NIV,2019,4,1.54713732
1,NIV,2020,1,1.46795144
1,NIV,2020,2,1.4824606
1,NIV,2020,3,1.44612633
1,NIV,2020,4,1.43554753
1,YWV,2018,1,0.80104561
1,YWV,2018,2,0.88705807
1,YWV,2018,3,0.9932345
1,YWV,2018,4,1.1192602
1,YWV,2019,1,1.04380908
1,YWV,2019,2,1.10717088
1,YWV,2019,3,1.07771408
1,YWV,2019,4,1.14160958
1,YWV,2020,1,1.08838135
1,YWV,2020,2,1.11685621
1,YWV,2020,3,1.09672524
1,YWV,2020,4,1.14022452
1,YCV,2018,1,4.96653637
1,YCV,2018,2,3.33617174
1,YCV,2018,3,3.54527498
1,YCV,2018,4,3.17783711
1,YCV,2019,1,3.04834144
1,YCV,2019,2,2.84996522
1,YCV,2019,3,2.7717611
1,YCV,2019,4,3.04526124
1,YCV,2020,1,2.35445208
1,YCV,2020,2,3.13118347
1,YCV,2020,3,2.23915535
1,YCV,2020,4,1.80418955
1,YDV,2018,1,0.67279669
1,YDV,2018,2,0.91116262
1,YDV,2018,3,0.98064485
1,YDV,2018,4,1.1258067
1,YDV,2019,1,1.09842139
1,YDV,2019,2,1.20527349
1,YDV,2019,3,1.19116148
1,YDV,2019,4,1.25635813
1,YDV,2020,1,1.23810562
1,YDV,2020,2,1.13753925
1,YDV,2020,3,1.21617272
1,YDV,2020,4,1.30087992
1,TAXV,2018,1,0.4770332
1,TAXV,2018,2,0.95055999
1,TAXV,2018,3,1.37941904
1,TAXV,2018,4,1.78386325
1,TAXV,2019,1,2.11783785
1,TAXV,2019,2,2.06094765
1,TAXV,2019,3,2.09621604
1,TAXV,2019,4,2.10957647
1,TAXV,2020,1,2.17126903
1,TAXV,2020,2,2.09553665
1,TAXV,2020,3,2.14362993
1,TAXV,2020,4,2.15834658
1,TYPV,2018,1,0.76789728
1,TYPV,2018,2,1.05770916
1,TYPV,2018,3,1.35983624
1,TYPV,2018,4,1.64804851
1,TYPV,2019,1,1.76860071
1,TYPV,2019,2,1.84508965
1,TYPV,2019,3,1.88806811
1,TYPV,2019,4,1.88814894
1,TYPV,2020,1,1.92456118
1,TYPV,2020,2,1.86541733
1,TYPV,2020,3,1.90989017
1,TYPV,2020,4,1.92784159
1,TYCV,2018,1,0.15805901
1,TYCV,2018,2,1.38770379
1,TYCV,2018,3,2.38757237
1,TYCV,2018,4,3.40005378
1,TYCV,2019,1,4.41984437
1,TYCV,2019,2,4.06345375
1,TYCV,2019,3,4.01684958
1,TYCV,2019,4,3.88042308
1,TYCV,2020,1,3.89636773
1,TYCV,2020,2,3.75370349
1,TYCV,2020,3,3.80887503
1,TYCV,2020,4,3.70328077
1,TCIV,2018,1,0.94367423
1,TCIV,2018,2,1.03905494
1,TCIV,2018,3,1.17816121
1,TCIV,2018,4,1.24180311
1,TCIV,2019,1,1.29798293
1,TCIV,2019,2,1.34831376
1,TCIV,2019,3,1.38242507
1,TCIV,2019,4,1.41809503
1,TCIV,2020,1,1.46219531
1,TCIV,2020,2,1.47788225
1,TCIV,2020,3,1.54365197
1,TCIV,2020,4,1.61229101
1,WIPH,2018,1,0.4029917
1,WIPH,2018,2,0.4444706
1,WIPH,2018,3,0.49580753
1,WIPH,2018,4,0.58437967
1,WIPH,2019,1,0.55198424
1,WIPH,2019,2,0.60637738
1,WIPH,2019,3,0.61840378
1,WIPH,2019,4,0.69089651
1,WIPH,2020,1,0.68780769
1,WIPH,2020,2,0.74779978
1,WIPH,2020,3,0.74638681
1,WIPH,2020,4,0.80017331
1,LE,2018,1,0.17320409
1,LE,2018,2,0.19955918
1,LE,2018,3,0.23806414
1,LE,2018,4,0.27135784
1,LE,2019,1,0.24155512
1,LE,2019,2,0.24360318
1,LE,2019,3,0.22017735
1,LE,2019,4,0.2247067
1,LE,2020,1,0.19144559
1,LE,2020,2,0.19079402
1,LE,2020,3,0.15715045
1,LE,2020,4,0.1414314
1,LF,2018,1,0.15214631
1,LF,2018,2,0.16761925
1,LF,2018,3,0.19877133
1,LF,2018,4,0.22842826
1,LF,2019,1,0.19663879
1,LF,2019,2,0.19698958
1,LF,2019,3,0.17328522
1,LF,2019,4,0.17742424
1,LF,2020,1,0.14394536
1,LF,2020,2,0.14248196
1,LF,2020,3,0.1083601
1,LF,2020,4,0.09254178
1,LH,2018,1,0.26806927
1,LH,2018,2,0.28536487
1,LH,2018,3,0.30972492
1,LH,2018,4,0.32069683
1,LH,2019,1,0.30840279
1,LH,2019,2,0.30905699
1,LH,2019,3,0.29420997
1,LH,2019,4,0.28268505
1,LH,2020,1,0.27111375
1,LH,2020,2,0.23345512
1,LH,2020,3,0.24796651
1,LH,2020,4,0.25856197
1,UR,2018,1,-0.02046916
1,UR,2018,2,-0.03108559
1,UR,2018,3,-0.03829478
1,UR,2018,4,-0.041804
1,UR,2019,1,-0.04374641
1,UR,2019,2,-0.04537799
1,UR,2019,3,-0.04578163
1,UR,2019,4,-0.04613418
1,UR,2020,1,-0.04627049
1,UR,2020,2,-0.04689993
1,UR,2020,3,-0.04732854
1,UR,2020,4,-0.0474325
1,CUX,2018,1,1.90822338
1,CUX,2018,2,1.98681241
1,CUX,2018,3,2.11754794
1,CUX,2018,4,2.05630155
1,CUX,2019,1,2.10998591
1,CUX,2019,2,2.08542578
1,CUX,2019,3,2.06875787
1,CUX,2019,4,2.05328713
1,CUX,2020,1,2.08613947
1,CUX,2020,2,2.12606585
1,CUX,2020,3,2.15435151
1,CUX,2020,4,2.13725162
1,GDPPOT,2018,1,0.09087048
1,GDPPOT,2018,2,0.09954567
1,GDPPOT,2018,3,0.11692852
1,GDPPOT,2018,4,0.13291756
1,GDPPOT,2019,1,0.11114051
1,GDPPOT,2019,2,0.10688924
1,GDPPOT,2019,3,0.08606732
1,GDPPOT,2019,4,0.07928165
1,GDPPOT,2020,1,0.04864224
1,GDPPOT,2020,2,0.03518391
1,GDPPOT,2020,3,0.00201564
1,GDPPOT,2020,4,-0.02098845
1,GDPGAP,2018,1,0.93603411
1,GDPGAP,2018,2,0.98686561
1,GDPGAP,2018,3,1.0512422
1,GDPGAP,2018,4,1.03451685
1,GDPGAP,2019,1,1.04995796
1,GDPGAP,2019,2,1.0443955
1,GDPGAP,2019,3,1.02841963
1,GDPGAP,2019,4,0.98214006
1,GDPGAP,2020,1,0.99326031
1,GDPGAP,2020,2,0.92150798
1,GDPGAP,2020,3,0.98566446
1,GDPGAP,2020,4,0.99688586
1,RCD,2018,1,0.06525859
1,RCD,2018,2,0.09728326
1,RCD,2018,3,0.13667303
1,RCD,2018,4,0.17627957
1,RCD,2019,1,0.20451555
1,RCD,2019,2,0.23156691
1,RCD,2019,3,0.24646982
1,RCD,2019,4,0.25922429
1,RCD,2020,1,0.26201113
1,RCD,2020,2,0.26556323
1,RCD,2020,3,0.26487791
1,RCD,2020,4,0.26777262
1,RGB,2018,1,0.03328906
1,RGB,2018,2,0.04547246
1,RGB,2018,3,0.06343441
1,RGB,2018,4,0.08111749
1,RGB,2019,1,0.09329919
1,RGB,2019,2,0.10595977
1,RGB,2019,3,0.11298991
1,RGB,2019,4,0.12047502
1,RGB,2020,1,0.12400557
1,RGB,2020,2,0.12927815
1,RGB,2020,3,0.13298923
1,RGB,2020,4,0.13925793
1,PERR,2018,1,-0.24582499
1,PERR,2018,2,-0.52446032
1,PERR,2018,3,-0.831478
1,PERR,2018,4,-1.22648995
1,PERR,2019,1,-1.35693836
1,PERR,2019,2,-1.51827078
1,PERR,2019,3,-1.73347955
1,PERR,2019,4,-2.0776955
1,PERR,2020,1,-2.41353277
1,PERR,2020,2,-3.00825309
1,PERR,2020,3,-3.83927275
1,PERR,2020,4,-3.86023549
1,UCC,2018,1,-0.04546321
1,UCC,2018,2,-0.58579732
1,UCC,2018,3,-0.72496496
1,UCC,2018,4,-0.83993159
1,UCC,2019,1,-0.59307256
1,UCC,2019,2,-0.01783747
1,UCC,2019,3,0.09043094
1,UCC,2019,4,0.07434469
1,UCC,2020,1,-0.07090115
1,UCC,2020,2,-0.15384632
1,UCC,2020,3,-0.35479339
1,UCC,2020,4,-0.50521939
1,FXS,2018,1,-0.01502345
1,FXS,2018,2,-0.03534149
1,FXS,2018,3,-0.06830992
1,FXS,2018,4,-0.11092893
1,FXS,2019,1,-0.16040782
1,FXS,2019,2,-0.21670927
1,FXS,2019,3,-0.27636741
1,FXS,2019,4,-0.33919842
1,FXS,2020,1,-0.40270531
1,FXS,2020,2,-0.46635786
1,FXS,2020,3,-0.53035767
1,FXS,2020,4,-0.5954757
1,PSHARE,2018,1,-0.06050001
1,PSHARE,2018,2,-0.56823485
1,PSHARE,2018,3,-1.34109701
1,PSHARE,2018,4,-2.33434082
1,PSHARE,2019,1,-3.37262377
1,PSHARE,2019,2,-4.25120665
1,PSHARE,2019,3,-5.02870168
1,PSHARE,2019,4,-5.64837233
1,PSHARE,2020,1,-6.08931126
1,PSHARE,2020,2,-6.38783701
1,PSHARE,2020,3,-6.55491238
1,PSHARE,2020,4,-6.65104281
1,PLAND,2018,1,-0.0007971
1,PLAND,2018,2,0.00262358
1,PLAND,2018,3,0.00587551
1,PLAND,2018,4,0.01923219
1,PLAND,2019,1,0.04219993
1,PLAND,2019,2,0.07449248
1,PLAND,2019,3,0.11584311
1,PLAND,2019,4,0.16455035
1,PLAND,2020,1,0.2196835
1,PLAND,2020,2,0.2803763
1,PLAND,2020,3,0.34205346
1,PLAND,2020,4,0.40652682
1,M2CD,2018,1,0.76753081
1,M2CD,2018,2,0.72059533
1,M2CD,2018,3,0.70171957
1,M2CD,2018,4,0.62272609
1,M2CD,2019,1,0.59785431
1,M2CD,2019,2,0.57659794
1,M2CD,2019,3,0.57779808
1,M2CD,2019,4,0.60302241
1,M2CD,2020,1,0.65903578
