scenario,variable,year,value_repro,value_paper,diff
2,CGPI,2018,0.05310223,0.05,0.00310223
2,CGPI,2019,0.21987673,0.21,0.00987673
2,CGPI,2020,0.43024604,0.41,0.02024604
2,CGV,2018,0.05573961,0.05,0.00573961
2,CGV,2019,0.31206187,0.3,0.01206187
2,CGV,2020,0.67898085,0.65,0.02898085
2,CP,2018,0.23933892,0.23,0.00933892
2,CP,2019,0.52072528,0.5,0.02072528
2,CP,2020,0.59997158,0.57,0.02997158
2,CPV,2018,0.26853767,0.26,0.00853767
2,CPV,2019,0.76820398,0.75,0.01820398
2,CPV,2020,1.1590685,1.14,0.0190685
2,CUX,2018,2.07630589,2.06,0.01630589
2,CUX,2019,2.44220502,2.23,0.21220502
2,CUX,2020,2.66038591,2.09,0.57038591
2,FXS,2018,0.00387391,0.0,0.00387391
2,FXS,2019,0.02233077,0.02,0.00233077
2,FXS,2020,0.05841753,0.06,-0.00158247
2,GDP,2018,1.11228087,1.12,-0.00771913
2,GDP,2019,1.27051739,1.27,0.00051739
2,GDP,2020,1.35374775,1.33,0.02374775
2,GDPD,2018,1.19659881,1.2,-0.00340119
2,GDPD,2019,0.10428439,0.09,0.01428439
2,GDPD,2020,0.06242877,0.03,0.03242877
2,GDPGAP,2018,0.99141235,0.99,0.00141235
2,GDPGAP,2019,1.07797267,1.1,-0.02202733
2,GDPGAP,2020,1.06514417,1.1,-0.03485583
2,GDPPOT,2018,0.13517107,0.13,0.00517107
2,GDPPOT,2019,0.19690553,0.16,0.03690553
2,GDPPOT,2020,0.23945029,0.18,0.05945029
2,GDPV,2018,1.21392091,1.22,-0.00607909
2,GDPV,2019,1.62088888,1.61,0.01088888
2,GDPV,2020,2.03376021,1.99,0.04376021
2,IFP,2018,0.07639047,0.08,-0.00360953
2,IFP,2019,0.2652154,0.27,-0.0047846
2,IFP,2020,0.28962717,0.29,-0.00037283
2,IFPV,2018,0.34673678,0.35,-0.00326322
2,IFPV,2019,0.82307386,0.87,-0.04692614
2,IFPV,2020,1.14409514,1.24,-0.09590486
2,IG,2018,20.07625493,20.08,-0.00374507
2,IG,2019,19.73838336,19.74,-0.00161664
2,IG,2020,18.12862915,18.13,-0.00137085
