scenario,variable,year,quarter,value
1,IHPV,2019,1,0.87385846
1,IHPV,2019,2,1.24550378
1,IHPV,2019,3,1.54288021
1,IHPV,2019,4,1.88147536
1,IHPV,2020,1,2.13205198
1,IHPV,2020,2,2.38435751
1,IHPV,2020,3,2.6108256
1,IHPV,2020,4,2.8318431
1,IGV,2018,1,20.33946275
1,IGV,2018,2,20.10008869
1,IGV,2018,3,20.30576779
1,IGV,2018,4,20.66229822
1,IGV,2019,1,20.42343934
1,IGV,2019,2,20.60115435
1,IGV,2019,3,20.4728853
1,IGV,2019,4,19.87228113
1,IGV,2020,1,20.23798734
1,IGV,2020,2,18.12792719
1,IGV,2020,3,18.96982384
1,IGV,2020,4,19.0167035
1,CGV,2018,1,-0.0
1,CGV,2018,2,0.02938343
1,CGV,2018,3,0.06602065
1,CGV,2018,4,0.11416185
1,CGV,2019,1,0.1771946
1,CGV,2019,2,0.2519774
1,CGV,2019,3,0.3341516
1,CGV,2019,4,0.41911781
1,CGV,2020,1,0.50603619
1,CGV,2020,2,0.59568222
1,CGV,2020,3,0.67507207
1,CGV,2020,4,0.76362219
1,XGSV,2018,1,-0.00609008
1,XGSV,2018,2,-0.01518595
1,XGSV,2018,3,-0.02494835
1,XGSV,2018,4,-0.03862367
1,XGSV,2019,1,-0.05412196
1,XGSV,2019,2,-0.07080089
1,XGSV,2019,3,-0.0879327
1,XGSV,2019,4,-0.10539132
1,XGSV,2020,1,-0.12268619
1,XGSV,2020,2,-0.13958546
1,XGSV,2020,3,-0.15518202
1,XGSV,2020,4,-0.17021001
1,MGSV,2018,1,0.11406635
1,MGSV,2018,2,0.25136795
1,MGSV,2018,3,0.5492033
1,MGSV,2018,4,0.77997534
1,MGSV,2019,1,0.87816204
1,MGSV,2019,2,0.91223887
1,MGSV,2019,3,0.94347438
1,MGSV,2019,4,0.96540499
1,MGSV,2020,1,0.96302643
1,MGSV,2020,2,0.9729139
1,MGSV,2020,3,0.94388924
1,MGSV,2020,4,0.90289453
1,NIV,2018,1,1.42397898
1,NIV,2018,2,1.40935976
1,NIV,2018,3,1.51789817
1,NIV,2018,4,1.53196705
1,NIV,2019,1,1.60639858
1,NIV,2019,2,1.59601107
1,NIV,2019,3,1.57719302
1,NIV,2019,4,1.57180854
1,NIV,2020,1,1.52080138
1,NIV,2020,2,1.53888275
1,NIV,2020,3,1.56963219
1,NIV,2020,4,1.57688274
1,YWV,2018,1,0.82725529
1,YWV,2018,2,0.95378879
1,YWV,2018,3,1.06236668
1,YWV,2018,4,1.18540284
1,YWV,2019,1,1.14050586
1,YWV,2019,2,1.19322792
1,YWV,2019,3,1.17272158
1,YWV,2019,4,1.23035007
1,YWV,2020,1,1.21470886
1,YWV,2020,2,1.24979195
1,YWV,2020,3,1.29100396
1,YWV,2020,4,1.35277856
1,YCV,2018,1,5.00786242
1,YCV,2018,2,3.24680677
1,YCV,2018,3,3.48223713
1,YCV,2018,4,2.97910004
1,YCV,2019,1,3.58026052
1,YCV,2019,2,2.85215142
1,YCV,2019,3,2.79722808
1,YCV,2019,4,2.60105796
1,YCV,2020,1,2.213603
1,YCV,2020,2,2.73522882
1,YCV,2020,3,2.38539641
1,YCV,2020,4,1.76107792
1,YDV,2018,1,0.69202542
1,YDV,2018,2,1.02627939
1,YDV,2018,3,1.03730305
1,YDV,2018,4,1.23241998
1,YDV,2019,1,1.16036811
1,YDV,2019,2,1.32036776
1,YDV,2019,3,1.25800987
1,YDV,2019,4,1.36694876
1,YDV,2020,1,1.30918328
1,YDV,2020,2,1.26702451
1,YDV,2020,3,1.33923683
1,YDV,2020,4,1.50968023
1,TAXV,2018,1,0.4799402
1,TAXV,2018,2,0.78648976
1,TAXV,2018,3,1.3669711
1,TAXV,2018,4,1.60901637
1,TAXV,2019,1,2.08315327
1,TAXV,2019,2,1.91323483
1,TAXV,2019,3,2.10018228
1,TAXV,2019,4,1.97987831
1,TAXV,2020,1,2.17341633
1,TAXV,2020,2,1.94816145
1,TAXV,2020,3,2.12517845
1,TAXV,2020,4,2.00985349
1,TYPV,2018,1,0.76352323
1,TYPV,2018,2,0.47126758
1,TYPV,2018,3,1.2929977
1,TYPV,2018,4,1.05111143
1,TYPV,2019,1,1.70762381
1,TYPV,2019,2,1.27441261
1,TYPV,2019,3,1.81247482
1,TYPV,2019,4,1.36242385
1,TYPV,2020,1,1.86888427
1,TYPV,2020,2,1.36493946
1,TYPV,2020,3,1.90713644
1,TYPV,2020,4,1.45351339
1,TYCV,2018,1,0.15564755
1,TYCV,2018,2,1.4151478
1,TYCV,2018,3,2.38354217
1,TYCV,2018,4,3.37035958
1,TYCV,2019,1,4.32004425
1,TYCV,2019,2,4.06394843
1,TYCV,2019,3,4.03413083
1,TYCV,2019,4,3.91076231
1,TYCV,2020,1,3.88341743
1,TYCV,2020,2,3.59014499
1,TYCV,2020,3,3.56861447
1,TYCV,2020,4,3.48355827
1,TCIV,2018,1,0.95978911
1,TCIV,2018,2,1.05814222
1,TCIV,2018,3,1.2128096
1,TCIV,2018,4,1.28627061
1,TCIV,2019,1,1.3461957
1,TCIV,2019,2,1.40787093
1,TCIV,2019,3,1.44608544
1,TCIV,2019,4,1.49569007
1,TCIV,2020,1,1.53823368
1,TCIV,2020,2,1.56651249
1,TCIV,2020,3,1.63757451
1,TCIV,2020,4,1.72718194
1,WIPH,2018,1,0.42544609
1,WIPH,2018,2,0.52568557
1,WIPH,2018,3,0.60708072
1,WIPH,2018,4,0.72270364
1,WIPH,2019,1,0.7296573
1,WIPH,2019,2,0.79347341
1,WIPH,2019,3,0.82465892
1,WIPH,2019,4,0.90408182
1,WIPH,2020,1,0.92498857
1,WIPH,2020,2,0.99945871
1,WIPH,2020,3,1.03865431
1,WIPH,2020,4,1.10949843
1,LE,2018,1,0.18169456
1,LE,2018,2,0.23216787
1,LE,2018,3,0.28294886
1,LE,2018,4,0.32731242
1,LE,2019,1,0.31578929
1,LE,2019,2,0.32367786
1,LE,2019,3,0.30998546
1,LE,2019,4,0.31869065
1,LE,2020,1,0.30010288
1,LE,2020,2,0.3070987
1,LE,2020,3,0.29079762
1,LE,2020,4,0.28168148
1,LF,2018,1,0.16105677
1,LF,2018,2,0.20071169
1,LF,2018,3,0.24417991
1,LF,2018,4,0.28464705
1,LF,2019,1,0.27082237
1,LF,2019,2,0.27628088
1,LF,2019,3,0.26190843
1,LF,2019,4,0.26947886
1,LF,2020,1,0.25027839
1,LF,2020,2,0.25587038
1,LF,2020,3,0.23891199
1,LF,2020,4,0.2293599
1,LH,2018,1,0.26457048
1,LH,2018,2,0.24091542
1,LH,2018,3,0.2255465
1,LH,2018,4,0.19761606
1,LH,2019,1,0.15652376
1,LH,2019,2,0.13182785
1,LH,2019,3,0.09779512
1,LH,2019,4,0.07326648
1,LH,2020,1,0.05522121
1,LH,2020,2,0.00526201
1,LH,2020,3,0.02640064
1,LH,2020,4,0.03714108
1,UR,2018,1,-0.02004787
1,UR,2018,2,-0.03060771
1,UR,2018,3,-0.03777401
1,UR,2018,4,-0.04152953
1,UR,2019,1,-0.04372605
1,UR,2019,2,-0.04610114
1,UR,2019,3,-0.04692068
1,UR,2019,4,-0.04795067
1,UR,2020,1,-0.04845124
1,UR,2020,2,-0.04966032
1,UR,2020,3,-0.05029453
1,UR,2020,4,-0.05061985
1,CUX,2018,1,1.86858392
1,CUX,2018,2,1.96076867
1,CUX,2018,3,2.13072405
1,CUX,2018,4,2.09551478
1,CUX,2019,1,2.17597803
1,CUX,2019,2,2.19971317
1,CUX,2019,3,2.20967753
1,CUX,2019,4,2.23815219
1,CUX,2020,1,2.28781188
1,CUX,2020,2,2.36160511
1,CUX,2020,3,2.3921259
1,CUX,2020,4,2.38843118
1,GDPPOT,2018,1,0.09619059
1,GDPPOT,2018,2,0.11929191
1,GDPPOT,2018,3,0.14399956
1,GDPPOT,2018,4,0.1663934
1,GDPPOT,2019,1,0.15529986
1,GDPPOT,2019,2,0.1540548
1,GDPPOT,2019,3,0.1387918
1,GDPPOT,2019,4,0.13412251
1,GDPPOT,2020,1,0.11225956
1,GDPPOT,2020,2,0.10347252
1,GDPPOT,2020,3,0.08115521
1,GDPPOT,2020,4,0.06275345
1,GDPGAP,2018,1,0.9217644
1,GDPGAP,2018,2,0.95045777
1,GDPGAP,2018,3,1.00400301
1,GDPGAP,2018,4,0.9718277
1,GDPGAP,2019,1,0.98395854
1,GDPGAP,2019,2,0.98348895
1,GDPGAP,2019,3,0.96580535
1,GDPGAP,2019,4,0.93244102
1,GDPGAP,2020,1,0.94671108
1,GDPGAP,2020,2,0.87655906
1,GDPGAP,2020,3,0.94458943
1,GDPGAP,2020,4,0.96277835
1,RCD,2018,1,0.06615562
1,RCD,2018,2,0.10040035
1,RCD,2018,3,0.1386449
1,RCD,2018,4,0.17607065
1,RCD,2019,1,0.2033352
1,RCD,2019,2,0.22739629
1,RCD,2019,3,0.24037672
1,RCD,2019,4,0.25101601
1,RCD,2020,1,0.25450194
1,RCD,2020,2,0.25763931
1,RCD,2020,3,0.25869066
1,RCD,2020,4,0.2613894
1,RGB,2018,1,0.03374665
1,RGB,2018,2,0.04700543
1,RGB,2018,3,0.06423707
1,RGB,2018,4,0.08086423
1,RGB,2019,1,0.09268027
1,RGB,2019,2,0.10389031
1,RGB,2019,3,0.11015471
1,RGB,2019,4,0.11671932
1,RGB,2020,1,0.12077732
1,RGB,2020,2,0.12581081
1,RGB,2020,3,0.13039742
1,RGB,2020,4,0.13636768
1,PERR,2018,1,-0.26513847
1,PERR,2018,2,-0.55576711
1,PERR,2018,3,-0.87899509
1,PERR,2018,4,-1.2743107
1,PERR,2019,1,-1.52100699
1,PERR,2019,2,-1.75901435
1,PERR,2019,3,-2.02810338
1,PERR,2019,4,-2.34016877
1,PERR,2020,1,-2.50624305
1,PERR,2020,2,-3.0054838
1,PERR,2020,3,-3.99742765
1,PERR,2020,4,-4.5265626
1,UCC,2018,1,-0.04538779
1,UCC,2018,2,-0.5860426
1,UCC,2018,3,-0.70837479
1,UCC,2018,4,-0.78536087
1,UCC,2019,1,-0.50545758
1,UCC,2019,2,0.06981369
1,UCC,2019,3,0.16819014
1,UCC,2019,4,0.16056091
1,UCC,2020,1,0.05130518
1,UCC,2020,2,-0.00575452
1,UCC,2020,3,-0.22718478
1,UCC,2020,4,-0.45295764
1,FXS,2018,1,-0.01525065
1,FXS,2018,2,-0.0363513
1,FXS,2018,3,-0.06996706
1,FXS,2018,4,-0.11281114
1,FXS,2019,1,-0.16234153
1,FXS,2019,2,-0.21786421
1,FXS,2019,3,-0.27629854
1,FXS,2019,4,-0.33726134
1,FXS,2020,1,-0.39894779
1,FXS,2020,2,-0.46110938
