scenario,variable,year,quarter,value,variant
1,IG,2018,4,20.266493376985718,a_ECM有効
1,IG,2019,1,19.88982968719155,a_ECM有効
1,IG,2019,2,19.642106043176643,a_ECM有効
1,IG,2019,3,19.802825653152656,a_ECM有効
1,IG,2019,4,19.297152834693378,a_ECM有効
1,IG,2020,1,19.50493552467045,a_ECM有効
1,IG,2020,2,16.82615415495785,a_ECM有効
1,IG,2020,3,18.024557849947676,a_ECM有効
1,IG,2020,4,18.292137765448757,a_ECM有効
1,CG,2018,1,0.0,a_ECM有効
1,CG,2018,2,0.030322418677508622,a_ECM有効
1,CG,2018,3,0.0608454275242476,a_ECM有効
1,CG,2018,4,0.09106174171382708,a_ECM有効
1,CG,2019,1,0.12026828431652703,a_ECM有効
1,CG,2019,2,0.14844204721748966,a_ECM有効
1,CG,2019,3,0.17788977421853147,a_ECM有効
1,CG,2019,4,0.20541207206166145,a_ECM有効
1,CG,2020,1,0.2328113026963008,a_ECM有効
1,CG,2020,2,0.261752282632699,a_ECM有効
1,CG,2020,3,0.28331481763461674,a_ECM有効
1,CG,2020,4,0.30950695547991014,a_ECM有効
1,XGS,2018,1,0.0,a_ECM有効
1,XGS,2018,2,-0.0005540088237276919,a_ECM有効
1,XGS,2018,3,-0.0019041532874020106,a_ECM有効
1,XGS,2018,4,-0.004838475308444057,a_ECM有効
1,XGS,2019,1,-0.009815389450995582,a_ECM有効
1,XGS,2019,2,-0.01713489510658528,a_ECM有効
1,XGS,2019,3,-0.026971907464690137,a_ECM有効
1,XGS,2019,4,-0.039185005689768015,a_ECM有効
1,XGS,2020,1,-0.05341662682601944,a_ECM有効
1,XGS,2020,2,-0.06913555437534358,a_ECM有効
1,XGS,2020,3,-0.08586733225373067,a_ECM有効
1,XGS,2020,4,-0.10317084885427263,a_ECM有効
1,MGS,2018,1,0.1215412546362371,a_ECM有効
1,MGS,2018,2,0.2642670723890017,a_ECM有効
1,MGS,2018,3,0.5721697976888818,a_ECM有効
1,MGS,2018,4,0.8209056870533082,a_ECM有効
1,MGS,2019,1,0.9282023110755544,a_ECM有効
1,MGS,2019,2,0.9822681842725389,a_ECM有効
1,MGS,2019,3,1.0177210854606322,a_ECM有効
1,MGS,2019,4,1.0581091397221076,a_ECM有効
1,MGS,2020,1,1.082171895981321,a_ECM有効
1,MGS,2020,2,1.0871635587303974,a_ECM有効
1,MGS,2020,3,1.0758143544875365,a_ECM有効
1,MGS,2020,4,1.0439178615574862,a_ECM有効
1,GDPD,2018,1,4.000809901109502,a_ECM有効
1,GDPD,2018,2,0.19205366847675664,a_ECM有効
1,GDPD,2018,3,0.32392469892787257,a_ECM有効
1,GDPD,2018,4,-0.01094917995974698,a_ECM有効
1,GDPD,2019,1,-0.01266963788134745,a_ECM有効
1,GDPD,2019,2,-0.04492658992611198,a_ECM有効
1,GDPD,2019,3,-0.1142962392532455,a_ECM有効
1,GDPD,2019,4,-0.01866117147657853,a_ECM有効
1,GDPD,2020,1,-0.071330818886703,a_ECM有効
1,GDPD,2020,2,-0.03710424333144502,a_ECM有効
1,GDPD,2020,3,0.0037836730513660655,a_ECM有効
1,GDPD,2020,4,-0.06686467452052636,a_ECM有効
1,PGDP,2018,1,0.041744484618777555,a_ECM有効
1,PGDP,2018,2,0.07078711761181466,a_ECM有効
1,PGDP,2018,3,0.10552917664792272,a_ECM有効
1,PGDP,2018,4,0.15271903319711289,a_ECM有効
1,PGDP,2019,1,0.20690807553926938,a_ECM有効
1,PGDP,2019,2,0.2761296663098989,a_ECM有効
1,PGDP,2019,3,0.3527615945680962,a_ECM有効
1,PGDP,2019,4,0.4222582839877198,a_ECM有効
1,PGDP,2020,1,0.4943909949848502,a_ECM有効
1,PGDP,2020,2,0.5737155911436531,a_ECM有効
1,PGDP,2020,3,0.6322010867383376,a_ECM有効
1,PGDP,2020,4,0.7019710681693603,a_ECM有効
1,PCP,2018,1,-0.0025967103992385887,a_ECM有効
1,PCP,2018,2,0.0023731593088216485,a_ECM有効
1,PCP,2018,3,0.023482109668870876,a_ECM有効
1,PCP,2018,4,0.06388931163090472,a_ECM有効
1,PCP,2019,1,0.12111087090078687,a_ECM有効
1,PCP,2019,2,0.18527545930813183,a_ECM有効
1,PCP,2019,3,0.252040019421762,a_ECM有効
1,PCP,2019,4,0.3197658315455598,a_ECM有効
1,PCP,2020,1,0.3882686940111846,a_ECM有効
1,PCP,2020,2,0.45727858938151567,a_ECM有効
1,PCP,2020,3,0.5268948024064413,a_ECM有効
1,PCP,2020,4,0.5972975402778191,a_ECM有効
1,PIFP,2018,1,0.15865755544426374,a_ECM有効
1,PIFP,2018,2,0.22591455460014842,a_ECM有効
1,PIFP,2018,3,0.2960341816756529,a_ECM有効
1,PIFP,2018,4,0.34478958712544916,a_ECM有効
1,PIFP,2019,1,0.4102992100287972,a_ECM有効
1,PIFP,2019,2,0.4699411613709348,a_ECM有効
1,PIFP,2019,3,0.5337771473059805,a_ECM有効
1,PIFP,2019,4,0.5915858457487211,a_ECM有効
1,PIFP,2020,1,0.6575156455423725,a_ECM有効
1,PIFP,2020,2,0.7112956160139072,a_ECM有効
1,PIFP,2020,3,0.785830275665278,a_ECM有効
1,PIFP,2020,4,0.8544449186827396,a_ECM有効
1,PIHP,2018,1,-0.010214564881261268,a_ECM有効
1,PIHP,2018,2,-0.008417890907364,a_ECM有効
1,PIHP,2018,3,0.012116166725451016,a_ECM有効
1,PIHP,2018,4,0.053456972775745015,a_ECM有効
1,PIHP,2019,1,0.11822611530345473,a_ECM有効
1,PIHP,2019,2,0.1886048798998896,a_ECM有効
1,PIHP,2019,3,0.263218040190627,a_ECM有効
1,PIHP,2019,4,0.33676877328681076,a_ECM有効
1,PIHP,2020,1,0.4115650987276398,a_ECM有効
1,PIHP,2020,2,0.4870527488566312,a_ECM有効
1,PIHP,2020,3,0.5621189015584616,a_ECM有効
1,PIHP,2020,4,0.6353729648139739,a_ECM有効
1,PXGS,2018,1,-0.0060032281856803316,a_ECM有効
1,PXGS,2018,2,-0.014632387774837774,a_ECM有効
1,PXGS,2018,3,-0.02304992348771684,a_ECM有効
1,PXGS,2018,4,-0.03396034711200535,a_ECM有効
1,PXGS,2019,1,-0.04436155318242596,a_ECM有効
1,PXGS,2019,2,-0.05381232621134435,a_ECM有効
1,PXGS,2019,3,-0.06084617399104708,a_ECM有効
1,PXGS,2019,4,-0.0660824162730611,a_ECM有効
1,PXGS,2020,1,-0.06898029802508976,a_ECM有効
1,PXGS,2020,2,-0.06993471547109831,a_ECM有効
1,PXGS,2020,3,-0.0684695789849088,a_ECM有効
1,PXGS,2020,4,-0.06583433794440374,a_ECM有効
1,PMGS,2018,1,-0.007801037512444875,a_ECM有効
1,PMGS,2018,2,-0.0170242009465138,a_ECM有効
1,PMGS,2018,3,-0.038069545181584896,a_ECM有効
1,PMGS,2018,4,-0.06262439963169442,a_ECM有効
1,PMGS,2019,1,-0.07176927478063089,a_ECM有効
1,PMGS,2019,2,-0.09738330002498907,a_ECM有効
1,PMGS,2019,3,-0.11133044004688619,a_ECM有効
1,PMGS,2019,4,-0.13242080699983338,a_ECM有効
1,PMGS,2020,1,-0.1544949935642248,a_ECM有効
1,PMGS,2020,2,-0.1503777800196282,a_ECM有効
1,PMGS,2020,3,-0.17389243886157812,a_ECM有効
1,PMGS,2020,4,-0.1950588129439157,a_ECM有効
1,CGPI,2018,1,-0.003740547327935051,a_ECM有効
1,CGPI,2018,2,0.03892255684139201,a_ECM有効
1,CGPI,2018,3,0.05146905137181079,a_ECM有効
1,CGPI,2018,4,0.07944914031836614,a_ECM有効
1,CGPI,2019,1,0.11553183540371492,a_ECM有効
1,CGPI,2019,2,0.1556649748369443,a_ECM有効
1,CGPI,2019,3,0.19584096523408423,a_ECM有効
1,CGPI,2019,4,0.23604529451382028,a_ECM有効
1,CGPI,2020,1,0.2753814843597491,a_ECM有効
1,CGPI,2020,2,0.3220077069277849,a_ECM有効
1,CGPI,2020,3,0.36609846987503136,a_ECM有効
1,CGPI,2020,4,0.4066873880156141,a_ECM有効
1,GDPV,2018,1,1.0415768677376258,a_ECM有効
1,GDPV,2018,2,1.1192466549919677,a_ECM有効
1,GDPV,2018,3,1.236678145396386,a_ECM有効
1,GDPV,2018,4,1.2816216240516765,a_ECM有効
1,GDPV,2019,1,1.3332195535143754,a_ECM有効
1,GDPV,2019,2,1.391881184606536,a_ECM有効
1,GDPV,2019,3,1.4404274579194576,a_ECM有効
1,GDPV,2019,4,1.5058001259641074,a_ECM有効
1,GDPV,2020,1,1.560691567509842,a_ECM有効
1,GDPV,2020,2,1.6306532672712537,a_ECM有効
1,GDPV,2020,3,1.690665609386599,a_ECM有効
1,GDPV,2020,4,1.7444437445868877,a_ECM有効
1,CPV,2018,1,-7.558286917452861e-05,a_ECM有効
1,CPV,2018,2,0.1480506321182018,a_ECM有効
1,CPV,2018,3,0.4041368461404016,a_ECM有効
1,CPV,2018,4,0.5301987023089039,a_ECM有効
1,CPV,2019,1,0.6260433666796406,a_ECM有効
1,CPV,2019,2,0.7094989785529027,a_ECM有効
1,CPV,2019,3,0.7832964828130562,a_ECM有効
1,CPV,2019,4,0.8705854070680807,a_ECM有効
1,CPV,2020,1,0.9368846758094351,a_ECM有効
1,CPV,2020,2,1.0094111823974572,a_ECM有効
1,CPV,2020,3,1.0364034089105356,a_ECM有効
1,CPV,2020,4,1.0845846428896966,a_ECM有効
1,IFPV,2018,1,0.11382185806969591,a_ECM有効
1,IFPV,2018,2,0.1267445350193075,a_ECM有効
1,IFPV,2018,3,0.14831393266525605,a_ECM有効
1,IFPV,2018,4,0.1076511844513961,a_ECM有効
1,IFPV,2019,1,0.033801036814540275,a_ECM有効
1,IFPV,2019,2,-0.09399700556459445,a_ECM有効
1,IFPV,2019,3,-0.23279852012206836,a_ECM有効
1,IFPV,2019,4,-0.35599121852607496,a_ECM有効
1,IFPV,2020,1,-0.43523434414255435,a_ECM有効
1,IFPV,2020,2,-0.49150314225718805,a_ECM有効
1,IFPV,2020,3,-0.4956999458922917,a_ECM有効
1,IFPV,2020,4,-0.4805298010066905,a_ECM有効
1,IHPV,2018,1,0.08773067431713244,a_ECM有効
1,IHPV,2018,2,0.16103883057130286,a_ECM有効
1,IHPV,2018,3,0.3584027280168156,a_ECM有効
1,IHPV,2018,4,0.593673429573105,a_ECM有効
1,IHPV,2019,1,0.8533937395305946,a_ECM有効
1,IHPV,2019,2,1.2020812468459763,a_ECM有効
1,IHPV,2019,3,1.5003567085169367,a_ECM有効
1,IHPV,2019,4,1.817633774740579,a_ECM有効
1,IHPV,2020,1,2.0732963872194032,a_ECM有効
1,IHPV,2020,2,2.296555277472301,a_ECM有効
1,IHPV,2020,3,2.5289282182161976,a_ECM有効
1,IHPV,2020,4,2.718967266844019,a_ECM有効
1,IGV,2018,1,20.30258889520169,a_ECM有効
1,IGV,2018,2,20.20552485319822,a_ECM有効
1,IGV,2018,3,20.33761964812053,a_ECM有効
1,IGV,2018,4,20.647359791229714,a_ECM有効
1,IGV,2019,1,20.359232608373134,a_ECM有効
1,IGV,2019,2,20.19659409246628,a_ECM有効
1,IGV,2019,3,20.450487082779855,a_ECM有効
1,IGV,2019,4,20.027784223919397,a_ECM有効
1,IGV,2020,1,20.331813207735692,a_ECM有効
1,IGV,2020,2,17.715072043451773,a_ECM有効
1,IGV,2020,3,19.02565935702498,a_ECM有効
1,IGV,2020,4,19.392098608554555,a_ECM有効
1,CGV,2018,1,2.220446049250313e-14,a_ECM有効
1,CGV,2018,2,0.02934226219930558,a_ECM有効
1,CGV,2018,3,0.06608537147905214,a_ECM有効
1,CGV,2018,4,0.11431442682172666,a_ECM有効
1,CGV,2019,1,0.177007909355531,a_ECM有効
1,CGV,2019,2,0.2516514331000641,a_ECM有効
1,CGV,2019,3,0.33412901830891517,a_ECM有効
1,CGV,2019,4,0.4183907806433851,a_ECM有効
1,CGV,2020,1,0.5042213297833831,a_ECM有効
1,CGV,2020,2,0.5927001464090642,a_ECM有効
1,CGV,2020,3,0.6744588496572446,a_ECM有効
1,CGV,2020,4,0.7614775427456255,a_ECM有効
1,XGSV,2018,1,-0.00600322816670662,a_ECM有効
1,XGSV,2018,2,-0.015186315532800254,a_ECM有効
1,XGSV,2018,3,-0.02495363787754501,a_ECM有効
1,XGSV,2018,4,-0.038797179252358927,a_ECM有効
1,XGSV,2019,1,-0.05417258838160688,a_ECM有効
1,XGSV,2019,2,-0.07093800063995293,a_ECM有効
1,XGSV,2019,3,-0.08780167008884954,a_ECM有効
1,XGSV,2019,4,-0.10524152755173599,a_ECM有効
1,XGSV,2020,1,-0.12236007789038217,a_ECM有効
1,XGSV,2020,2,-0.1390219200849918,a_ECM有効
1,XGSV,2020,3,-0.15427811822937842,a_ECM有効
1,XGSV,2020,4,-0.16893726494255912,a_ECM有効
1,MGSV,2018,1,0.11373073564491243,a_ECM有効
1,MGSV,2018,2,0.24719788208504845,a_ECM有効
1,MGSV,2018,3,0.533882430067667,a_ECM有効
1,MGSV,2018,4,0.7577672001635394,a_ECM有効
1,MGSV,2019,1,0.85576687222777,a_ECM有効
1,MGSV,2019,2,0.8839283190746228,a_ECM有効
1,MGSV,2019,3,0.9052576120508693,a_ECM有効
1,MGSV,2019,4,0.9242871760605231,a_ECM有効
1,MGSV,2020,1,0.9260050010160281,a_ECM有効
1,MGSV,2020,2,0.935150926285977,a_ECM有効
1,MGSV,2020,3,0.9000511558073132,a_ECM有効
1,MGSV,2020,4,0.8468227948247087,a_ECM有効
1,NIV,2018,1,1.4251708820950393,a_ECM有効
1,NIV,2018,2,1.4051404457762429,a_ECM有効
1,NIV,2018,3,1.5069736537466127,a_ECM有効
1,NIV,2018,4,1.5293629969337807,a_ECM有効
1,NIV,2019,1,1.5950068014163543,a_ECM有効
1,NIV,2019,2,1.5759856112032455,a_ECM有効
1,NIV,2019,3,1.5518108114872975,a_ECM有効
1,NIV,2019,4,1.557912195716682,a_ECM有効
1,NIV,2020,1,1.5092641299123688,a_ECM有効
1,NIV,2020,2,1.528348550404357,a_ECM有効
1,NIV,2020,3,1.5248951978918734,a_ECM有効
1,NIV,2020,4,1.5408236506531559,a_ECM有効
1,YWV,2018,1,0.8033402082449959,a_ECM有効
1,YWV,2018,2,0.9674190861851395,a_ECM有効
1,YWV,2018,3,1.0685549629748436,a_ECM有効
1,YWV,2018,4,1.1996843960960124,a_ECM有効
1,YWV,2019,1,1.1062773293322614,a_ECM有効
1,YWV,2019,2,1.198030856547394,a_ECM有効
1,YWV,2019,3,1.1577907138276666,a_ECM有効
1,YWV,2019,4,1.2361036975756967,a_ECM有効
1,YWV,2020,1,1.2037784908511373,a_ECM有効
1,YWV,2020,2,1.224677682377151,a_ECM有効
1,YWV,2020,3,1.2430376462540638,a_ECM有効
1,YWV,2020,4,1.338623436445241,a_ECM有効
1,YCV,2018,1,5.332080689715668,a_ECM有効
1,YCV,2018,2,3.3205474462590034,a_ECM有効
1,YCV,2018,3,3.4821419955996413,a_ECM有効
1,YCV,2018,4,3.107354832164666,a_ECM有効
1,YCV,2019,1,3.8358563240348476,a_ECM有効
1,YCV,2019,2,2.864612480642048,a_ECM有効
1,YCV,2019,3,2.749684517309703,a_ECM有効
1,YCV,2019,4,2.682309449299014,a_ECM有効
1,YCV,2020,1,2.2646602685072015,a_ECM有効
1,YCV,2020,2,3.278205566968162,a_ECM有効
1,YCV,2020,3,2.294594245131387,a_ECM有効
1,YCV,2020,4,1.6587848845311504,a_ECM有効
1,YDV,2018,1,0.6688734506852256,a_ECM有効
1,YDV,2018,2,0.9752585580115491,a_ECM有効
1,YDV,2018,3,1.036436783526029,a_ECM有効
1,YDV,2018,4,1.1734542518026414,a_ECM有効
1,YDV,2019,1,1.1183918395605064,a_ECM有効
1,YDV,2019,2,1.250562529382715,a_ECM有効
1,YDV,2019,3,1.2277691021163717,a_ECM有効
1,YDV,2019,4,1.297747983215114,a_ECM有効
1,YDV,2020,1,1.2924946770525025,a_ECM有効
1,YDV,2020,2,1.1712621378949795,a_ECM有効
1,YDV,2020,3,1.2915265445223811,a_ECM有効
1,YDV,2020,4,1.4219245957859172,a_ECM有効
1,TAXV,2018,1,0.4806031967951485,a_ECM有効
1,TAXV,2018,2,0.9753318662723665,a_ECM有効
1,TAXV,2018,3,1.4096385808416434,a_ECM有効
1,TAXV,2018,4,1.8186261600105391,a_ECM有効
1,TAXV,2019,1,2.1352690120197027,a_ECM有効
1,TAXV,2019,2,2.099727911756988,a_ECM有効
1,TAXV,2019,3,2.135382544610187,a_ECM有効
1,TAXV,2019,4,2.1524048505753735,a_ECM有効
1,TAXV,2020,1,2.2109098172793606,a_ECM有効
1,TAXV,2020,2,2.0851645666203567,a_ECM有効
1,TAXV,2020,3,2.137573791039449,a_ECM有効
1,TAXV,2020,4,2.1653717355088142,a_ECM有効
1,TYPV,2018,1,0.7599033686437773,a_ECM有効
1,TYPV,2018,2,1.0440300470774266,a_ECM有効
1,TYPV,2018,3,1.3521579269959672,a_ECM有効
1,TYPV,2018,4,1.6442959116740319,a_ECM有効
1,TYPV,2019,1,1.773838534128802,a_ECM有効
1,TYPV,2019,2,1.8422763631153805,a_ECM有効
1,TYPV,2019,3,1.8851924902947736,a_ECM有効
1,TYPV,2019,4,1.8919400355915217,a_ECM有効
1,TYPV,2020,1,1.938654840687759,a_ECM有効
1,TYPV,2020,2,1.8834670341160376,a_ECM有効
1,TYPV,2020,3,1.9432182742546988,a_ECM有効
1,TYPV,2020,4,1.9778514066429054,a_ECM有効
1,TYCV,2018,1,0.15629804633199296,a_ECM有効
1,TYCV,2018,2,1.488482306507266,a_ECM有効
1,TYCV,2018,3,2.4906818735388914,a_ECM有効
1,TYCV,2018,4,3.5044967058872167,a_ECM有効
1,TYCV,2019,1,4.448095617840586,a_ECM有効
1,TYCV,2019,2,4.170135395324248,a_ECM有効
1,TYCV,2019,3,4.124803000266897,a_ECM有効
1,TYCV,2019,4,3.981605343823591,a_ECM有効
1,TYCV,2020,1,3.944607423802937,a_ECM有効
1,TYCV,2020,2,3.6047010663672996,a_ECM有効
1,TYCV,2020,3,3.6481109025636727,a_ECM有効
1,TYCV,2020,4,3.5627450906250857,a_ECM有効
1,TCIV,2018,1,0.9600571148543624,a_ECM有効
1,TCIV,2018,2,1.0550616641097355,a_ECM有効
1,TCIV,2018,3,1.2044424164160406,a_ECM有効
1,TCIV,2018,4,1.2769719896988052,a_ECM有効
1,TCIV,2019,1,1.338230566640286,a_ECM有効
1,TCIV,2019,2,1.3922822051173567,a_ECM有効
1,TCIV,2019,3,1.432383541136728,a_ECM有効
1,TCIV,2019,4,1.4789696610792546,a_ECM有効
1,TCIV,2020,1,1.5193695011999075,a_ECM有効
1,TCIV,2020,2,1.544316113151467,a_ECM有効
1,TCIV,2020,3,1.6179559339486005,a_ECM有効
1,TCIV,2020,4,1.6938330961594028,a_ECM有効
1,WIPH,2018,1,0.4068523249803002,a_ECM有効
1,WIPH,2018,2,0.542939392993036,a_ECM有効
1,WIPH,2018,3,0.615678155065158,a_ECM有効
1,WIPH,2018,4,0.7378557575884015,a_ECM有効
1,WIPH,2019,1,0.7035637676260365,a_ECM有効
1,WIPH,2019,2,0.8057870878435347,a_ECM有効
1,WIPH,2019,3,0.8161088010755213,a_ECM有効
1,WIPH,2019,4,0.9088672605278791,a_ECM有効
1,WIPH,2020,1,0.9155894102726547,a_ECM有効
1,WIPH,2020,2,0.9785935247321742,a_ECM有効
1,WIPH,2020,3,1.003282457257204,a_ECM有効
1,WIPH,2020,4,1.0949762521388129,a_ECM有効
1,LE,2018,1,0.17518846263133714,a_ECM有効
1,LE,2018,2,0.23708992404376517,a_ECM有効
1,LE,2018,3,0.28527425537510087,a_ECM有効
1,LE,2018,4,0.3322050820357081,a_ECM有効
1,LE,2019,1,0.3050907473149289,a_ECM有効
1,LE,2019,2,0.3241177267861106,a_ECM有効
1,LE,2019,3,0.3048605633392487,a_ECM有効
1,LE,2019,4,0.3197300209776266,a_ECM有効
1,LE,2020,1,0.29615040787049907,a_ECM有効
1,LE,2020,2,0.2970488610648081,a_ECM有効
1,LE,2020,3,0.2761954596065541,a_ECM有効
1,LE,2020,4,0.2793817751022942,a_ECM有効
1,LF,2018,1,0.15452460660494438,a_ECM有効
1,LF,2018,2,0.2062563378550708,a_ECM有効
1,LF,2018,3,0.24737261477307815,a_ECM有効
1,LF,2018,4,0.29103187672649966,a_ECM有効
1,LF,2019,1,0.26109372729157254,a_ECM有効
1,LF,2019,2,0.2778579580382079,a_ECM有効
1,LF,2019,3,0.2578074964463273,a_ECM有効
1,LF,2019,4,0.2718067280075065,a_ECM有効
1,LF,2020,1,0.2475854186506199,a_ECM有効
1,LF,2020,2,0.24559410402962278,a_ECM有効
1,LF,2020,3,0.2238660606309617,a_ECM有効
1,LF,2020,4,0.22744247445194432,a_ECM有効
1,LH,2018,1,0.2627307192259787,a_ECM有効
1,LH,2018,2,0.23638890837398563,a_ECM有効
1,LH,2018,3,0.2218459640690007,a_ECM有効
1,LH,2018,4,0.19018938300134902,a_ECM有効
1,LH,2019,1,0.15429218053777394,a_ECM有効
1,LH,2019,2,0.1292441524763932,a_ECM有効
1,LH,2019,3,0.09638098561148833,a_ECM有効
1,LH,2019,4,0.07081071971177799,a_ECM有効
1,LH,2020,1,0.053835920603750864,a_ECM有効
1,LH,2020,2,0.01355089073273863,a_ECM有効
1,LH,2020,3,0.028740349036349144,a_ECM有効
1,LH,2020,4,0.0340338255628847,a_ECM有効
1,UR,2018,1,-0.02007629136016753,a_ECM有効
1,UR,2018,2,-0.02999849749874217,a_ECM有効
1,UR,2018,3,-0.03692901186235531,a_ECM有効
1,UR,2018,4,-0.04007627260318891,a_ECM有効
1,UR,2019,1,-0.04278723065542689,a_ECM有効
1,UR,2019,2,-0.04499272682695743,a_ECM有効
1,UR,2019,3,-0.045923643622982624,a_ECM有効
1,UR,2019,4,-0.04669410879761893,a_ECM有効
1,UR,2020,1,-0.04722723947201857,a_ECM有効
1,UR,2020,2,-0.04988644492225491,a_ECM有効
1,UR,2020,3,-0.050728294215403036,a_ECM有効
1,UR,2020,4,-0.050250975452522884,a_ECM有効
1,CUX,2018,1,1.8712577268237052,a_ECM有効
1,CUX,2018,2,1.9021457106553674,a_ECM有効
1,CUX,2018,3,2.0784515314528074,a_ECM有効
1,CUX,2018,4,1.9974515656245417,a_ECM有効
1,CUX,2019,1,2.1558350702318485,a_ECM有効
1,CUX,2019,2,2.1391678568557726,a_ECM有効
1,CUX,2019,3,2.1710190490360715,a_ECM有効
1,CUX,2019,4,2.165087751018957,a_ECM有効
1,CUX,2020,1,2.235789984573011,a_ECM有効
1,CUX,2020,2,2.4374026795202397,a_ECM有効
1,CUX,2020,3,2.4283091181114713,a_ECM有効
1,CUX,2020,4,2.330977567188852,a_ECM有効
1,GDPPOT,2018,1,0.09229048792485095,a_ECM有効
1,GDPPOT,2018,2,0.12261011968668356,a_ECM有効
1,GDPPOT,2018,3,0.14590804652225842,a_ECM有効
1,GDPPOT,2018,4,0.17018829552879478,a_ECM有効
1,GDPPOT,2019,1,0.14945502262961874,a_ECM有効
1,GDPPOT,2019,2,0.15494657658174926,a_ECM有効
1,GDPPOT,2019,3,0.1363288115278749,a_ECM有効
1,GDPPOT,2019,4,0.13551290156774698,a_ECM有効
1,GDPPOT,2020,1,0.11075274543979052,a_ECM有効
1,GDPPOT,2020,2,0.0974019222641509,a_ECM有効
1,GDPPOT,2020,3,0.07221385013720383,a_ECM有効
1,GDPPOT,2020,4,0.06153432021323013,a_ECM有効
1,GDPGAP,2018,1,0.925613731214844,a_ECM有効
1,GDPGAP,2018,2,0.9435433403387443,a_ECM有効
1,GDPGAP,2018,3,0.9966472339981447,a_ECM有効
1,GDPGAP,2018,4,0.9650456771726916,a_ECM有効
1,GDPGAP,2019,1,0.9842535699067254,a_ECM有効
1,GDPGAP,2019,2,0.9700058073419353,a_ECM有効
1,GDPGAP,2019,3,0.959788488774239,a_ECM有効
1,GDPGAP,2019,4,0.9240205384344045,a_ECM有効
1,GDPGAP,2020,1,0.936760727659689,a_ECM有効
1,GDPGAP,2020,2,0.8733916857502626,a_ECM有効
1,GDPGAP,2020,3,0.9436534337365408,a_ECM有効
1,GDPGAP,2020,4,0.9490785478690258,a_ECM有効
1,RCD,2018,1,0.06520774688882558,a_ECM有効
1,RCD,2018,2,0.10148689092720348,a_ECM有効
1,RCD,2018,3,0.13871817141905843,a_ECM有効
1,RCD,2018,4,0.17633757132429206,a_ECM有効
1,RCD,2019,1,0.20065516408632456,a_ECM有効
1,RCD,2019,2,0.22644309185660055,a_ECM有効
1,RCD,2019,3,0.2382291432052761,a_ECM有効
1,RCD,2019,4,0.25008991895307275,a_ECM有効
1,RCD,2020,1,0.2523262855358844,a_ECM有効
1,RCD,2020,2,0.2542421969693357,a_ECM有効
1,RCD,2020,3,0.2550353025697226,a_ECM有効
