scenario,variable,year,quarter,value
1,GDPV,2020,4,1.6742845626950498
1,CPV,2018,1,-7.669150673406122e-05
1,CPV,2018,2,0.15311338193650936
1,CPV,2018,3,0.40152661647741006
1,CPV,2018,4,0.5113663712746019
1,CPV,2019,1,0.6051393115387382
1,CPV,2019,2,0.6945108343814343
1,CPV,2019,3,0.7661896174908644
1,CPV,2019,4,0.836833710393381
1,CPV,2020,1,0.8915327810736118
1,CPV,2020,2,0.9490659977236637
1,CPV,2020,3,0.9733665730516039
1,CPV,2020,4,1.0154142359938279
1,IFPV,2018,1,0.1124139095157517
1,IFPV,2018,2,0.131237876076562
1,IFPV,2018,3,0.1585221113869384
1,IFPV,2018,4,0.12634699983937736
1,IFPV,2019,1,0.057615882488804004
1,IFPV,2019,2,-0.057857619378531844
1,IFPV,2019,3,-0.18732521910806987
1,IFPV,2019,4,-0.2996881649511174
1,IFPV,2020,1,-0.3709978335439845
1,IFPV,2020,2,-0.41588261785808767
1,IFPV,2020,3,-0.4110154616830952
1,IFPV,2020,4,-0.38304871506192884
1,IHPV,2018,1,0.09119818338312324
1,IHPV,2018,2,0.12438506053897846
1,IHPV,2018,3,0.2533428406490179
1,IHPV,2018,4,0.36428863159572167
1,IHPV,2019,1,0.4703034036277254
1,IHPV,2019,2,0.6102008411119852
1,IHPV,2019,3,0.7021578163993292
1,IHPV,2019,4,0.8013212264153191
1,IHPV,2020,1,0.8540696781303314
1,IHPV,2020,2,0.9013574853716566
1,IHPV,2020,3,0.9682676463303785
1,IHPV,2020,4,1.0170594989906467
1,IGV,2018,1,20.339462745946268
1,IGV,2018,2,20.104079882358473
1,IGV,2018,3,20.3144803065894
1,IGV,2018,4,20.67802102409557
1,IGV,2019,1,20.44600407669026
1,IGV,2019,2,20.632260216594723
1,IGV,2019,3,20.51234148003884
1,IGV,2019,4,19.919600307405826
1,IGV,2020,1,20.291341274076437
1,IGV,2020,2,18.190256324376275
1,IGV,2020,3,19.038996772752515
1,IGV,2020,4,19.092567785056747
1,CGV,2018,1,-2.220446049250313e-14
1,CGV,2018,2,0.02938342918528125
1,CGV,2018,3,0.06609815786675632
1,CGV,2018,4,0.11408485313053607
1,CGV,2019,1,0.17655379249275072
1,CGV,2019,2,0.2500775214864914
1,CGV,2019,3,0.3301585666841689
1,CGV,2019,4,0.4122546043874076
1,CGV,2020,1,0.49549466382827756
1,CGV,2020,2,0.5807679518649245
1,CGV,2020,3,0.6550122556596483
1,CGV,2020,4,0.7376518687126854
1,XGSV,2018,1,-0.0060900769014993195
1,XGSV,2018,2,-0.014727893019705895
1,XGSV,2018,3,-0.028661590167011752
1,XGSV,2018,4,-0.04691850249224361
1,XGSV,2019,1,-0.06891881717770998
1,XGSV,2019,2,-0.09459413328096744
1,XGSV,2019,3,-0.12291256043862608
1,XGSV,2019,4,-0.15369030719033505
1,XGSV,2020,1,-0.18639542734533165
1,XGSV,2020,2,-0.21993889514447806
1,XGSV,2020,3,-0.2548388965721071
1,XGSV,2020,4,-0.2906783556597792
1,MGSV,2018,1,0.11406635391786324
1,MGSV,2018,2,0.2199859410688676
1,MGSV,2018,3,0.47054710025213886
1,MGSV,2018,4,0.6546129983304949
1,MGSV,2019,1,0.734002170104664
1,MGSV,2019,2,0.731906653898684
1,MGSV,2019,3,0.7547116618541239
1,MGSV,2019,4,0.75933396498431
1,MGSV,2020,1,0.7296702430858115
1,MGSV,2020,2,0.7461198579394202
1,MGSV,2020,3,0.707186569488738
1,MGSV,2020,4,0.6557412377927729
1,NIV,2018,1,1.4239789782311885
1,NIV,2018,2,1.4160721086672767
1,NIV,2018,3,1.518719728223461
1,NIV,2018,4,1.5295883552688405
1,NIV,2019,1,1.5951748985136627
1,NIV,2019,2,1.5767168701372292
1,NIV,2019,3,1.5438020705513589
1,NIV,2019,4,1.5143651912407297
1,NIV,2020,1,1.450116357734399
1,NIV,2020,2,1.4368853134892667
1,NIV,2020,3,1.4506787743152172
1,NIV,2020,4,1.4422816405351702
1,YWV,2018,1,0.8272552893344942
1,YWV,2018,2,1.009009888986312
1,YWV,2018,3,1.1443794947260333
1,YWV,2018,4,1.2914315930468545
1,YWV,2019,1,1.2914556406554256
1,YWV,2019,2,1.3336295232190931
1,YWV,2019,3,1.3092899977513728
1,YWV,2019,4,1.3368481825073664
1,YWV,2020,1,1.3577767089255843
1,YWV,2020,2,1.3240591409795943
1,YWV,2020,3,1.3691358834202916
1,YWV,2020,4,1.4108894082840662
1,YCV,2018,1,5.007862417442688
1,YCV,2018,2,3.399541525474392
1,YCV,2018,3,3.6291904187775614
1,YCV,2018,4,3.1877281750094077
1,YCV,2019,1,3.692849101761886
1,YCV,2019,2,3.026872062791286
1,YCV,2019,3,2.9669261436988004
1,YCV,2019,4,2.827981716649708
1,YCV,2020,1,2.347573606087705
1,YCV,2020,2,3.1144233036520363
1,YCV,2020,3,2.602331395976787
1,YCV,2020,4,1.914217511272609
1,YDV,2018,1,0.6920254168669704
1,YDV,2018,2,0.9361702093821256
1,YDV,2018,3,0.9989960828015176
1,YDV,2018,4,1.1299098587127299
1,YDV,2019,1,1.1200133221649367
1,YDV,2019,2,1.2027535472212136
1,YDV,2019,3,1.1776575050191918
1,YDV,2019,4,1.21312704651233
1,YDV,2020,1,1.1984161761788181
1,YDV,2020,2,1.0981639755039518
1,YDV,2020,3,1.1909419408899113
1,YDV,2020,4,1.2842325060833826
1,TAXV,2018,1,0.4799402039324496
1,TAXV,2018,2,0.9590359293859985
1,TAXV,2018,3,1.3923825442229587
1,TAXV,2018,4,1.7981185952357537
1,TAXV,2019,1,2.1262717707706713
1,TAXV,2019,2,2.1088247226675794
1,TAXV,2019,3,2.14952196322431
1,TAXV,2019,4,2.160453367583859
1,TAXV,2020,1,2.2079401337540494
1,TAXV,2020,2,2.10628839853213
1,TAXV,2020,3,2.1362108588915962
1,TAXV,2020,4,2.1554612517937333
1,TYPV,2018,1,0.7635232316228535
1,TYPV,2018,2,1.0503957589078627
1,TYPV,2018,3,1.3538997317378954
1,TYPV,2018,4,1.6402440791298378
