scenario,variable,year,value_repro,value_paper,diff
2,BGVATGDPV,2018,-0.4549936215752671,-0.46,0.0050063784247328935
2,BGVATGDPV,2019,-0.2610142803529446,-0.26,-0.0010142803529445965
2,BGVATGDPV,2020,-0.17153157016154252,-0.05,-0.12153157016154252
2,CG,2018,0.04552165808969777,0.04,0.005521658089697769
2,CG,2019,0.16296214216302563,0.16,0.0029621421630256217
2,CG,2020,0.2719577691629449,0.26,0.011957769162944887
2,CGPI,2018,0.05229596560716865,0.05,0.0022959656071686457
2,CGPI,2019,0.2209459971438732,0.21,0.010945997143873204
2,CGPI,2020,0.4371018762657053,0.41,0.027101876265705316
2,CGV,2018,0.0556270782942514,0.05,0.005627078294251395
2,CGV,2019,0.31262116984266397,0.3,0.012621169842663982
2,CGV,2020,0.6836895541222299,0.65,0.03368955412222985
2,CP,2018,0.22632238601697496,0.23,-0.0036776139830250465
2,CP,2019,0.48228474409469646,0.5,-0.01771525590530354
2,CP,2020,0.5324801183779815,0.57,-0.03751988162201847
2,CPV,2018,0.2557130154045406,0.26,-0.004286984595459398
2,CPV,2019,0.7338048516304041,0.75,-0.016195148369595902
2,CPV,2020,1.1047103064994068,1.14,-0.03528969350059308
2,CUX,2018,2.0261019318663975,2.06,-0.03389806813360252
2,CUX,2019,2.2451454703570684,2.23,0.015145470357068369
2,CUX,2020,2.3657103732709297,2.09,0.27571037327092984
2,FXS,2018,0.003814521066355936,0.0,0.003814521066355936
2,FXS,2019,0.02231295348758544,0.02,0.0023129534875854403
2,FXS,2020,0.058953054116489545,0.06,-0.0010469458835104528
2,GDP,2018,1.1117596581673383,1.12,-0.008240341832661757
2,GDP,2019,1.2574106153138531,1.27,-0.012589384686146898
2,GDP,2020,1.3147385819999302,1.33,-0.01526141800006986
2,GDPD,2018,1.1923808701437215,1.2,-0.007619129856278439
2,GDPD,2019,0.08471986553840316,0.09,-0.005280134461596836
2,GDPD,2020,0.03797437680473342,0.03,0.007974376804733424
2,GDPGAP,2018,1.007962919193341,0.99,0.01796291919334103
2,GDPGAP,2019,1.113292102168519,1.1,0.013292102168518838
2,GDPGAP,2020,1.0985634082403453,1.1,-0.001436591759654826
2,GDPPOT,2018,0.11847040172214274,0.13,-0.011529598277857267
2,GDPPOT,2019,0.14914585294207305,0.16,-0.01085414705792695
2,GDPPOT,2020,0.16627484684930693,0.18,-0.013725153150693059
2,GDPV,2018,1.216364384806301,1.22,-0.0036356151936989267
2,GDPV,2019,1.6130700062218783,1.61,0.003070006221878252
2,GDPV,2020,1.9934660568542373,1.99,0.003466056854237287
2,IFP,2018,0.07678758331613467,0.08,-0.003212416683865335
2,IFP,2019,0.27018055847705114,0.27,0.00018055847705111816
2,IFP,2020,0.2972905228968148,0.29,0.007290522896814811
2,IFPV,2018,0.35808038115371366,0.35,0.008080381153713678
2,IFPV,2019,0.879118992652389,0.87,0.009118992652389024
2,IFPV,2020,1.250045024066554,1.24,0.010045024066553943
2,IG,2018,20.076254925611472,20.08,-0.003745074388525893
2,IG,2019,19.738383361831467,19.74,-0.0016166381685316367
2,IG,2020,18.128629150573623,18.13,-0.0013708494263759974
2,IGV,2018,20.380291561410928,20.38,0.0002915614109291198
2,IGV,2019,20.463850891139124,20.46,0.0038508911391232914
2,IGV,2020,19.31902343717106,19.32,-0.000976562828938654
2,IHP,2018,0.2365279636720674,0.24,-0.0034720363279325817
2,IHP,2019,0.5250583060247616,0.54,-0.01494169397523848
2,IHP,2020,0.6070398504221364,0.63,-0.02296014957786363
2,IHPV,2018,0.2584562584978023,0.26,-0.0015437415021977152
2,IHPV,2019,0.7935040018667461,0.81,-0.016495998133253975
2,IHPV,2020,1.232135432323861,1.25,-0.017864567676139087
2,KFP,2018,0.003685771786327008,0.0,0.003685771786327008
2,KFP,2019,0.028431039176562978,0.03,-0.0015689608234370211
2,KFP,2020,0.05797387631271689,0.06,-0.00202612368728311
2,KG,2018,0.4407852861787964,0.44,0.0007852861787964183
2,KG,2019,1.1230865341849194,1.12,0.0030865341849193317
2,KG,2020,1.7507329747588674,1.75,0.0007329747588673552
2,KHP,2018,0.005999739853607133,0.01,-0.004000260146392867
2,KHP,2019,0.02751736425340434,0.03,-0.0024826357465956572
2,KHP,2020,0.05547877518107813,0.06,-0.004521224818921865
2,LE,2018,0.2313198890105006,0.25,-0.0186801109894994
2,LE,2019,0.2849537571903038,0.31,-0.025046242809696195
2,LE,2020,0.29764284070066815,0.32,-0.022357159299331852
2,LF,2018,0.1974678636525895,0.21,-0.012532136347410489
2,LF,2019,0.23575540397161032,0.26,-0.024244596028389687
2,LF,2020,0.24407351863917626,0.27,-0.02592648136082376
2,LH,2018,0.29990324238415855,0.3,-9.675761584143627e-05
2,LH,2019,0.33406849300827157,0.34,-0.005931506991728452
2,LH,2020,0.3180149346254546,0.33,-0.011985065374545412
2,M2CD,2018,1.1578106636088714,1.16,-0.0021893363911285046
2,M2CD,2019,1.6023376558286673,1.61,-0.007662344171332824
2,M2CD,2020,2.056095710083594,2.07,-0.013904289916405688
2,MGS,2018,0.3876868033307945,0.38,0.007686803330794523
2,MGS,2019,0.8385297301977124,0.84,-0.0014702698022875937
2,MGS,2020,0.9623815401348879,0.97,-0.007618459865112115
2,MGSV,2018,0.37650964780513996,0.38,-0.003490352194860047
2,MGSV,2019,0.8348015448704116,0.86,-0.025198455129588404
2,MGSV,2020,1.0152147142171608,1.06,-0.044785285782839246
2,NIV,2018,1.534587785473046,1.54,-0.005412214526953951
2,NIV,2019,1.8913595462689448,1.9,-0.008640453731055153
2,NIV,2020,2.1661439154551543,2.19,-0.023856084544845668
2,PCP,2018,0.029279829392347967,0.03,-0.000720170607652032
2,PCP,2019,0.25029346701342936,0.25,0.00029346701342936043
2,PCP,2020,0.5692030208946763,0.57,-0.0007969791053236142
2,PERR,2018,-0.5185354494949488,-0.49,-0.028535449494948795
2,PERR,2019,-0.9933474761373908,-0.89,-0.10334747613739081
2,PERR,2020,-1.8594135274766916,-1.58,-0.27941352747669157
2,PGDP,2018,0.10342044036014686,0.1,0.0034204403601468536
2,PGDP,2019,0.3512264916904151,0.34,0.011226491690415064
2,PGDP,2020,0.6699145928879213,0.65,0.0199145928879213
2,PIFP,2018,0.2810216847100644,0.28,0.0010216847100643633
2,PIFP,2019,0.6072817690924825,0.6,0.007281769092482571
2,PIFP,2020,0.9499252489866661,0.95,-7.475101333387357e-05
2,PIHP,2018,0.021847020159526664,0.02,0.001847020159526664
2,PIHP,2019,0.26698608132916246,0.27,-0.0030139186708375565
2,PIHP,2020,0.6213222018123854,0.62,0.001322201812385404
2,PLAND,2018,-0.001358965557879399,0.0,-0.001358965557879399
2,PLAND,2019,-0.009424343674971358,-0.01,0.0005756563250286419
2,PLAND,2020,-0.02162365511360065,-0.02,-0.0016236551136006479
2,PMGS,2018,-0.011112656792011677,0.0,-0.011112656792011677
2,PMGS,2019,-0.0037001025163074797,0.02,-0.02370010251630748
2,PMGS,2020,0.05232651391714471,0.09,-0.037673486082855284
2,PSHARE,2018,0.22599543118602683,0.23,-0.0040045688139731805
2,PSHARE,2019,0.3022923468180616,0.3,0.002292346818061619
2,PSHARE,2020,0.37931463244889607,0.38,-0.0006853675511039325
2,PXGS,2018,0.0015231636156048944,0.0,0.0015231636156048944
2,PXGS,2019,0.008909207862656254,0.01,-0.001090792137343746
2,PXGS,2020,0.023536412383878824,0.02,0.0035364123838788238
