scenario,variable,year,quarter,value
1,XGSV,2020,3,-0.1544715
1,XGSV,2020,4,-0.16942133
1,MGSV,2018,1,0.11406635
1,MGSV,2018,2,0.25132276
1,MGSV,2018,3,0.53905925
1,MGSV,2018,4,0.75733675
1,MGSV,2019,1,0.85222327
1,MGSV,2019,2,0.88492791
1,MGSV,2019,3,0.91482055
1,MGSV,2019,4,0.93482086
1,MGSV,2020,1,0.93189098
1,MGSV,2020,2,0.93953454
1,MGSV,2020,3,0.91052077
1,MGSV,2020,4,0.8694079
1,NIV,2018,1,1.42397898
1,NIV,2018,2,1.40879071
1,NIV,2018,3,1.51035581
1,NIV,2018,4,1.52343453
1,NIV,2019,1,1.59943905
1,NIV,2019,2,1.5858613
1,NIV,2019,3,1.56911722
1,NIV,2019,4,1.56039697
1,NIV,2020,1,1.51124875
1,NIV,2020,2,1.52605438
1,NIV,2020,3,1.55835216
1,NIV,2020,4,1.5637996
1,YWV,2018,1,0.82725529
1,YWV,2018,2,0.95345523
1,YWV,2018,3,1.05798068
1,YWV,2018,4,1.17973907
1,YWV,2019,1,1.13544125
1,YWV,2019,2,1.18603087
1,YWV,2019,3,1.16678344
1,YWV,2019,4,1.22256913
1,YWV,2020,1,1.20733007
1,YWV,2020,2,1.24086499
1,YWV,2020,3,1.28226987
1,YWV,2020,4,1.34337929
1,YCV,2018,1,5.00786242
1,YCV,2018,2,3.24500897
1,YCV,2018,3,3.4578399
1,YCV,2018,4,2.95567174
1,YCV,2019,1,3.56545297
1,YCV,2019,2,2.82895745
1,YCV,2019,3,2.78345526
1,YCV,2019,4,2.57054388
1,YCV,2020,1,2.19882666
1,YCV,2020,2,2.68477676
1,YCV,2020,3,2.36513284
1,YCV,2020,4,1.73262878
1,YDV,2018,1,0.69202542
1,YDV,2018,2,0.96525323
1,YDV,2018,3,1.02667628
1,YDV,2018,4,1.16655036
1,YDV,2019,1,1.14784387
1,YDV,2019,2,1.25582054
1,YDV,2019,3,1.24243502
1,YDV,2019,4,1.30470553
1,YDV,2020,1,1.29248478
1,YDV,2020,2,1.20965594
1,YDV,2020,3,1.323928
1,YDV,2020,4,1.44440408
1,TAXV,2018,1,0.4799402
1,TAXV,2018,2,0.95975104
1,TAXV,2018,3,1.38360839
1,TAXV,2018,4,1.78022686
1,TAXV,2019,1,2.09597713
1,TAXV,2019,2,2.07284444
1,TAXV,2019,3,2.11439711
1,TAXV,2019,4,2.13056407
1,TAXV,2020,1,2.18542961
1,TAXV,2020,2,2.09326812
1,TAXV,2020,3,2.12771166
1,TAXV,2020,4,2.15389797
1,TYPV,2018,1,0.76352323
1,TYPV,2018,2,1.05174806
1,TYPV,2018,3,1.35529217
1,TYPV,2018,4,1.64326066
1,TYPV,2019,1,1.77085974
1,TYPV,2019,2,1.84918604
1,TYPV,2019,3,1.89440728
1,TYPV,2019,4,1.90447105
1,TYPV,2020,1,1.94671718
1,TYPV,2020,2,1.89495845
1,TYPV,2020,3,1.95822732
1,TYPV,2020,4,2.00396945
1,TYCV,2018,1,0.15564755
1,TYCV,2018,2,1.41508333
1,TYCV,2018,3,2.38213627
1,TYCV,2018,4,3.36206936
1,TYCV,2019,1,4.30544831
1,TYCV,2019,2,4.04499702
1,TYCV,2019,3,4.00864193
1,TYCV,2019,4,3.88735339
1,TYCV,2020,1,3.85824663
1,TYCV,2020,2,3.56445621
1,TYCV,2020,3,3.53965098
1,TYCV,2020,4,3.45115647
1,TCIV,2018,1,0.95978911
1,TCIV,2018,2,1.05775558
1,TCIV,2018,3,1.20589788
1,TCIV,2018,4,1.27619813
1,TCIV,2019,1,1.3368244
