scenario,variable,year,value_repro,value_paper,diff
2,MGSV,2018,0.36359335,0.38,-0.01640665
2,MGSV,2019,0.81351678,0.86,-0.04648322
2,MGSV,2020,1.00990866,1.06,-0.05009134
2,NIV,2018,1.53893611,1.54,-0.00106389
2,NIV,2019,1.88775565,1.9,-0.01224435
2,NIV,2020,2.19566835,2.19,0.00566835
2,PCP,2018,0.02963263,0.03,-0.00036737
2,PCP,2019,0.25448616,0.25,0.00448616
2,PCP,2020,0.58102236,0.57,0.01102236
2,PERR,2018,-0.48042306,-0.49,0.00957694
2,PERR,2019,-0.80533869,-0.89,0.08466131
2,PERR,2020,-1.63244759,-1.58,-0.05244759
2,PGDP,2018,0.07713764,0.1,-0.02286236
2,PGDP,2019,0.31598582,0.34,-0.02401418
2,PGDP,2020,0.64378419,0.65,-0.00621581
2,PIFP,2018,0.28720832,0.28,0.00720832
2,PIFP,2019,0.62315747,0.6,0.02315747
2,PIFP,2020,0.97557378,0.95,0.02557378
2,PIHP,2018,0.02337414,0.02,0.00337414
2,PIHP,2019,0.27391467,0.27,0.00391467
2,PIHP,2020,0.63697076,0.62,0.01697076
2,PLAND,2018,-0.00123256,0.0,-0.00123256
2,PLAND,2019,-0.00919831,-0.01,0.00080169
2,PLAND,2020,-0.02135386,-0.02,-0.00135386
2,PMGS,2018,-0.00226692,0.0,-0.00226692
2,PMGS,2019,0.01601896,0.02,-0.00398104
2,PMGS,2020,0.07486733,0.09,-0.01513267
2,PSHARE,2018,0.22318934,0.23,-0.00681066
2,PSHARE,2019,0.30034709,0.3,0.00034709
2,PSHARE,2020,0.38013324,0.38,0.00013324
2,PXGS,2018,0.0016081,0.0,0.0016081
2,PXGS,2019,0.00931174,0.01,-0.00068826
2,PXGS,2020,0.02441768,0.02,0.00441768
2,RCD,2018,0.0,0.0,0.0
2,RCD,2019,0.0,0.0,0.0
2,RCD,2020,0.0,0.0,0.0
2,RGB,2018,0.00014308,0.0,0.00014308
2,RGB,2019,0.00100624,0.0,0.00100624
2,RGB,2020,0.00109979,0.0,0.00109979
2,SBGVATGDPV,2018,-2.37016569,-2.47,0.09983431
2,SBGVATGDPV,2019,-2.98748781,-3.11,0.12251219
2,SBGVATGDPV,2020,-3.87205763,-4.03,0.15794237
2,TAXV,2018,1.19174469,1.21,-0.01825531
