period,GDP,CP,IHP,IFP,INP,CG,IG,ING,BF,XGS,MGS,KAISA,GDPV,CPV,IHPV,IFPV,INPV,CGV,IGV,INGV,BFV,XGSV,MGSV,NFIV,RTRIV,PTRIV,GNIV,PGDP,PCP,PIHP,PIFP,PCG,PIG,PXGS,PMGS,YWV,YWIV,YOLIV,YIGV,YIEV,YINPV,YICV,NIV,TAXNETV,ENTV,RENTHH,CCAVG,TPIV,TCIV,TCSTV,SUBV,TINCGV,CSSV,TYPV,YDV,BSSV,TYCV,OITAXV,ITAXV,CCAV,TAXV,YIV,YCV,SDV,OTYDV
1996Q3,473142.5,260786.3,34510.5,76855.0,1475.3,76724.6,48646.3,226.9,-17523.7,41971.6,59495.4,-8558.7,536077.2,281133.4,33106.7,89608.7,1575.6,81707.9,47379.5,188.0,1377.5,49657.9,48280.4,6396.1,12336.6,5940.5,542473.3,1.133,1.078,0.9590000000000001,1.166,1.065,0.9740000000000001,1.183,0.8109999999999999,272168.5,240739.69929415995,31942.391385176295,-6024.931874999999,35132.86865247679,598.354375,35314.61125,389798.0067774768,30849.03720589929,84627.659375,3295.5562499999996,15222.511369971013,34716.290230409584,7370.524103182161,1114.4862557881918,3894.846875,55231.699702410006,47839.25404638415,30049.56040895047,303505.87747935706,54106.35026624555,25209.0358457152,26260.17566762156,34745.18602659191,121493.42757977918,90003.78228125758,29107.936777476792,53206.958750000005,331.5264911520062,-15327.638234030688
1996Q4,478466.0,263405.0,35106.6,76900.7,2464.6,77853.3,47468.7,259.0,-16496.1,43759.2,60255.3,-8495.7,541098.1,284227.9,33987.9,89691.8,2493.2,82119.4,46425.4,231.0,1921.4,52018.8,50097.4,6620.5,12542.0,5921.5,547718.6,1.131,1.079,0.968,1.166,1.055,0.978,1.189,0.831,273459.6,240464.09042206215,32512.581190299883,-5740.728125,35143.780400249554,580.2325,36073.350625,393562.20290024957,30725.17013996554,86859.113125,3260.205,15326.835002603253,35282.75245831736,7705.910518761255,1109.2420891275865,4603.95375,54036.913438177275,48999.18130598205,28844.57961865748,305971.278574375,54922.755851662674,25262.202001572357,26452.67544390634,35267.82805179518,122300.31512620504,89374.60967202502,29403.052275249553,54626.200000000004,1192.2076717501623,-15784.447377897683
1997Q1,479683.8,267264.7,34090.3,77660.5,-355.8,77863.2,46628.3,139.4,-15675.4,45099.3,60774.7,-7931.3,542257.1,288527.1,33068.1,90453.9,-620.8,82705.8,45706.7,141.8,2274.5,55132.8,52858.3,7264.8,13412.5,6147.7,549521.9,1.13,1.08,0.97,1.165,1.062,0.98,1.222,0.87,277480.2,244635.92825049383,32969.340198562124,-5964.36,34063.283959498716,567.0174999999999,35500.6425,403053.35645949875,31866.056537537916,93618.6725,3288.5425,15834.193925597434,36133.28529106941,8052.0019736667355,1098.398411965661,4189.6425,55284.41283989929,49722.94986508484,29760.5496439436,307868.00758100965,56331.040974511176,25229.003602441415,26909.47388961359,36059.87427524599,123113.6358439327,91049.427521631,28098.923959498716,61973.590000000004,-8515.324078677455,-16023.660343971802
1997Q2,476016.7,260236.1,30911.7,77803.8,2476.8,78052.6,46668.0,79.0,-12734.5,47011.6,59746.1,-7477.0,544054.7,285104.0,30419.0,90647.4,2591.2,83289.7,46293.2,98.8,5611.3,56890.7,51279.4,7421.7,13476.5,6054.8,551476.4,1.143,1.0959999999999999,0.9840000000000001,1.165,1.067,0.992,1.21,0.858,278643.1,245674.031096938,33263.174017376885,-5842.68,34650.60607963619,617.2275,36446.605,395716.7635796362,32603.43320428891,84400.04250000001,3248.4675,15955.471966231078,36455.83363866977,9743.9370523368,1050.4691296266542,3839.225,56213.657125514466,50063.2627440805,32128.256128298406,309449.32501866744,57577.73653489159,23990.97130768985,25661.787822558734,36456.194004522185,123718.70115737473,92575.42144051044,28807.926079636192,51819.13250000001,-576.033741533116,-15677.20372348139
1997Q3,477002.5,260612.4,29063.5,78230.0,4545.5,77975.3,47111.4,164.4,-13216.4,46382.8,59599.3,-7483.7,543991.9,285567.0,28376.5,90792.0,4693.3,82943.3,46399.7,138.3,5081.9,55287.3,50205.4,6356.4,12577.1,6220.7,550348.3,1.14,1.0959999999999999,0.976,1.161,1.064,0.985,1.192,0.8420000000000001,279887.5,246538.90350269107,33237.195802385315,-5979.67,34732.90015125022,604.85,36283.485,391963.7251512502,32917.88522661644,79518.9625,3199.1825,16074.741062132087,37102.71114026886,10029.881887479134,1044.181378599475,4201.757500000001,54968.032093571645,50122.93928711171,31257.202793339893,311940.975374752,57932.819790369605,23704.961708951017,26027.267896911195,37101.3311629898,124174.63096811184,92063.4956652807,28753.230151250224,47039.509999999995,1310.3702176482184,-15515.587486416218
1997Q4,477203.6,260114.6,27891.6,79911.8,3757.9,78392.1,44809.2,457.1,-10849.4,47395.7,58245.1,-7281.4,544939.1,284743.5,27020.6,92824.3,3920.1,83676.5,43972.5,406.5,8375.1,58428.3,50053.1,7615.8,14365.9,6750.0,552554.9,1.1420000000000001,1.095,0.9690000000000001,1.162,1.067,0.981,1.2329999999999999,0.8590000000000001,279470.4,245858.1088510589,33345.335014437886,-5595.3675,33263.427869283296,559.3225,36626.145000000004,387235.3203692833,32792.590106444826,76275.965,3261.5724999999998,16177.235085112394,37257.785575310016,10212.94092272806,992.4820585323905,4532.5575,56415.179679931396,50158.96695743767,31306.204680853676,310051.4751404008,56886.69842932054,25145.682268428933,26047.940539410647,37253.3635206711,124453.04217194558,93705.2504699537,27668.060369283296,43470.715,8145.731438099989,-14730.024519911676
1998Q1,471369.7,259750.1,27185.8,78679.2,3511.3,78280.1,42229.4,242.4,-11533.6,46178.4,57712.0,-6974.9,538052.6,284022.0,26189.9,91037.9,3306.6,83618.1,41290.8,234.6,8352.7,56882.2,48529.5,7229.2,13573.2,6344.0,545281.8,1.141,1.093,0.963,1.157,1.068,0.978,1.232,0.841,277784.8,244671.01816140878,33300.39121801498,-5883.4225,33813.59109522302,574.185,39634.9225,390576.271095223,33834.86413138572,80860.3425,3426.775,16180.127777375827,37068.07712855718,10431.92648986656,957.8095507663708,3242.2500000000005,48359.73177088062,50142.67741712844,27589.694577899365,317799.091587217,59017.175894461434,20841.3886159413,25719.195460821084,37108.93150145402,124565.56735686012,85540.01469529468,27930.16859522302,45226.38,-3726.71995353722,-14719.025907439645
1998Q2,469286.6,259503.5,26659.2,77937.9,1599.7,78886.4,41856.6,172.5,-9905.8,45262.0,55167.7,-7423.5,534812.6,283424.3,25537.5,89916.1,1712.6,83445.7,40728.8,135.1,9912.5,56686.5,46774.0,6108.7,12699.0,6590.3,540921.3,1.14,1.092,0.958,1.1540000000000001,1.058,0.973,1.252,0.848,276006.2,242313.67664509683,33975.586030204606,-6763.9875,32723.53616148283,521.0024999999999,36129.45,383146.17366148287,34483.24499665122,77363.33,3296.0925,16291.086570372774,38677.21429659745,12119.303912762718,929.3534749204206,4137.355,48597.75316590074,50504.33711204104,27732.99584606165,310593.1389636747,58762.54673104664,20807.34329376254,25557.409799021425,38606.06718670456,124414.44671051271,87146.40632652876,25959.54866148283,45050.975000000006,-1108.0325587001862,-14791.260970752104
1998Q3,470143.1,261363.7,26054.0,77402.5,-403.9,79313.9,43797.4,-81.8,-9826.6,45432.3,55258.9,-7476.1,533875.7,284786.1,24909.8,89028.5,-473.1,83649.7,42430.7,-67.6,9611.5,57148.4,47536.9,6790.0,12694.4,5904.4,540665.7,1.136,1.09,0.956,1.15,1.055,0.9690000000000001,1.258,0.86,273265.7,239200.9556589486,33844.77802200497,-6273.4125,31914.563715528555,478.1475,36770.14,385116.8687155286,35674.88204925582,82209.0925,3522.7774999999997,16395.99407011219,38934.35873035875,12489.284816714355,930.8096787797026,3226.6075,45573.390112753885,50154.47989325982,25140.827829546284,310946.5618189465,59851.87051884996,20421.61481410908,25476.255383341973,38896.34987883603,124015.19313244741,84458.79252249139,25641.151215528553,49439.877499999995,-4136.10422681208,-15560.404692625976
1998Q4,473939.0,260989.9,25483.3,75354.6,2429.0,79869.7,48300.4,-601.5,-9331.8,44607.7,53939.4,-8554.6,539269.9,285477.0,24211.4,86017.3,2430.8,85439.3,46463.3,-544.3,9775.1,52150.0,42374.8,6252.7,10906.8,4654.0,545522.7,1.138,1.094,0.95,1.141,1.07,0.9620000000000001,1.169,0.7859999999999999,272943.5,239094.70297678973,33798.591705811785,-7123.4875,32207.09543554341,440.4875,37707.2225,377796.26543554344,35665.71973015769,75871.595,3457.075,16465.53000742021,39202.11143130702,12836.851413066506,901.7135644144706,3516.5824999999995,46237.02182674049,50073.143847988475,26398.96688886299,310670.36816587124,60443.02973138217,19860.45260358321,25481.62323575168,39220.18821323266,123433.25241204682,85479.60770567885,25083.607935543412,42061.935,8589.476439177117,-16158.368764202809
