period,GDP,CP,IHP,IFP,INP,CG,IG,ING,BF,XGS,MGS,KAISA,GDPV,CPV,IHPV,IFPV,INPV,CGV,IGV,INGV,BFV,XGSV,MGSV,NFIV,RTRIV,PTRIV,GNIV,PGDP,PCP,PIHP,PIFP,PCG,PIG,PXGS,PMGS,YWV,YWIV,YOLIV,YIGV,YIEV,YINPV,YICV,NIV,TAXNETV,CCAVG,TPIV,TCIV,TCSTV,SUBV,TINCGV,CSSV,TYPV,YDV,BSSV,TYCV,OITAXV,ITAXV,SDV,CCAV,TAXV,YIV,YCV,OTYDV
1996Q3,473144.7,260790.1,34510.5,76855.0,1475.3,76725.0,48646.6,226.9,-17524.3,41971.4,59495.6,-8560.5,536121.9,281176.2,33106.7,89608.7,1575.6,81707.9,47381.2,188.0,1377.5,49657.9,48280.4,6471.9,12412.4,5940.5,542593.8,1.133,1.078,0.9590000000000001,1.166,1.065,0.9740000000000001,1.183,0.8109999999999999,272676.8123088229,240737.40148296204,31954.150707047287,-5916.288333333333,38459.44498774614,597.9629166666666,35155.02482012056,389953.2063374041,30743.090687629443,15206.316305635364,34758.789039484065,7388.96690938632,1119.731132652016,4063.57125,55343.469728385455,47854.804233559466,29967.18061462796,303641.89791890705,54244.87220898323,25411.96561176153,26280.9370029232,34789.63504496154,0.0,121914.52986763441,90168.78127135104,32543.156654412804,49578.212554047845,-19072.2715585783
1996Q4,478442.2,263382.4,35106.5,76900.7,2464.6,77853.6,47467.9,259.0,-16496.7,43759.0,60255.6,-8495.9,541134.8,284263.7,33988.0,89691.8,2493.2,82119.4,46426.3,231.0,1921.4,52018.9,50097.5,6624.8,12546.5,5921.8,547759.6,1.131,1.079,0.968,1.166,1.055,0.978,1.189,0.831,273459.7462550429,240916.44676411976,32494.665616303664,-5829.450416666667,38407.06630878651,577.6645833333333,36288.57660415171,392799.5107813375,30457.724012968236,15316.586915158507,35274.509020697304,7696.427481069037,1105.5839051052644,4900.389166666667,54320.94940942372,48951.74808429913,28882.157132826094,306177.98264328035,54306.82288817283,25555.534309268744,26463.475363633665,35265.48674980797,0.0,124594.99163552123,89703.17819190281,32577.615892119844,50473.572030023046,-18450.32419574831
1997Q1,479586.7,267170.1,34090.2,77660.5,-355.8,77863.5,46622.5,139.4,-15676.0,45099.0,60775.0,-7927.7,542156.7,288432.6,33068.1,90453.9,-620.8,82705.8,45700.7,141.8,2274.6,55132.9,52858.3,7218.3,13365.6,6147.3,549375.0,1.13,1.08,0.97,1.165,1.062,0.98,1.222,0.87,276965.3351180865,244140.34724500202,32875.008019829795,-5888.977083333333,37434.48503491179,572.30625,35009.59960630833,403511.4548456902,32175.795624269802,15841.012504266211,36020.1093859131,7952.452777005189,1098.3734257763494,3750.15625,55012.10072405135,49616.46136765223,29828.550823377125,307238.354724992,56344.143490563685,24868.470085036057,26918.648288983666,35969.474491765206,0.0,113644.22691254452,90666.49540017839,31545.50795157846,59991.01216971695,-19070.19633384887
1997Q2,476097.0,260322.5,30911.8,77803.8,2476.8,78053.0,46668.0,79.0,-12735.2,47011.1,59746.3,-7482.7,544079.9,285126.4,30419.0,90647.4,2591.2,83289.7,46296.1,98.8,5611.1,56890.4,51279.3,7386.7,13441.6,6054.9,551466.5,1.143,1.095,0.9840000000000001,1.165,1.067,0.992,1.21,0.858,278648.845646904,245279.68221976314,33372.00208392722,-5854.606845238095,37736.99685255346,613.8800595238095,36648.53542334863,395536.1467633667,32606.34060981213,15957.850714187329,36569.20206819698,9841.382081968559,1051.3694981916985,3957.5607142857143,55892.386746109885,50220.5375600733,31945.81731578124,309587.4938553681,58061.201855315274,23885.9126038203,25665.490686624747,36558.242266785004,0.0,123329.77168413403,92389.97218638654,31882.390007315364,48356.37568579869,-19341.731046898756
1997Q3,476996.7,260608.9,29063.5,78230.0,4545.5,77975.6,47110.5,164.4,-13216.9,46382.6,59599.5,-7485.0,544024.6,285599.9,28376.5,90792.0,4693.3,82943.3,46399.4,138.3,5082.0,55287.4,50205.4,6440.0,12660.8,6220.7,550464.7,1.141,1.0959999999999999,0.976,1.161,1.064,0.985,1.192,0.8420000000000001,280393.4550151806,247169.50930644188,33234.70347923074,-6031.109821428571,37972.59756625205,603.0214285714286,36189.347947285496,391072.6932773067,33035.25773900716,16072.424078088588,37092.48603923778,10072.755290708163,1046.3780472488593,4091.324404761905,55121.937045637824,50046.084925156145,31347.683162741007,312455.08947624033,57890.51594156466,23767.674996562226,25968.752385360356,37087.88572331738,0.0,126395.3454041378,92203.2438826206,31941.48774482348,42548.40257001713,-18597.058906145277
1997Q4,477185.3,260094.3,27891.6,79911.8,3757.9,78392.5,44812.6,457.1,-10850.0,47395.5,58245.5,-7282.5,544965.8,284765.5,27020.6,92824.3,3920.1,83676.5,43977.2,406.5,8375.1,58428.4,50053.2,7604.0,14354.2,6750.2,552569.8,1.1420000000000001,1.095,0.9690000000000001,1.162,1.067,0.981,1.2329999999999999,0.8590000000000001,279139.59439259657,245697.43234762986,33395.14640544029,-5525.545238095238,36723.694124060836,561.9678571428572,36847.017338935584,388869.76053052244,32753.207546218055,16169.206239152056,37240.67399961299,10177.28336791549,988.7566075187124,4536.678869047619,56551.794932767414,50271.030943614816,31254.49734672269,310091.91803279874,56549.47692410761,25402.66416777756,26072.384127015925,37238.424102450124,0.0,130998.29423607507,93895.58561695037,31198.1488859656,41684.99991302469,-17642.336456564313
1998Q1,471302.3,259688.7,27185.8,78679.2,3511.3,78280.4,42221.6,242.4,-11534.3,46178.1,57712.4,-6972.8,537984.2,283960.5,26189.8,91037.9,3306.6,83618.1,41284.0,234.6,8352.8,56882.3,48529.5,7190.5,13534.3,6343.8,545174.7,1.141,1.093,0.963,1.157,1.068,0.978,1.232,0.841,277675.63685593655,244517.1223300681,33219.419830635015,-5886.760714285714,36721.469249209295,570.0035714285714,39940.514877892296,389087.4758251206,33553.48875525394,16188.10169177769,37080.83168979729,10320.747382853602,959.6469239504997,3517.7535714285714,48097.610063581495,50027.12979662278,27444.39937304162,316889.39944464865,59100.43917711053,20635.121715544312,25829.092042291126,37109.48634909523,0.0,122495.49139721273,85189.00743768115,30834.70853492358,40636.61555636815,-19077.131545835524
1998Q2,469326.9,259546.7,26659.3,77937.9,1599.6,78886.8,41857.5,172.5,-9906.4,45261.5,55167.9,-7427.1,534816.0,283425.7,25537.5,89916.1,1712.6,83445.7,40731.0,135.1,9912.3,56686.2,46773.9,6079.1,12669.4,6590.3,540895.1,1.14,1.092,0.958,1.1540000000000001,1.058,0.973,1.252,0.848,276185.26139891974,242241.10694226818,33915.84725245088,-6752.842857142858,36476.526331049194,527.7375,36079.84559361677,383298.3468148697,34560.94576660187,16293.493222497133,38657.93242770466,12233.330330591165,926.4329306165687,4033.0714285714284,48866.08025307438,50449.84818648189,28016.07092229952,310830.10293883213,58843.67549094728,20829.937783492616,25454.216640852297,38613.97990206003,0.0,123015.84471164166,87459.98860785217,29723.683473906334,41309.55634842688,-18289.286766919424
1998Q3,470137.1,261361.4,26054.0,77402.5,-403.9,79314.2,43794.8,-81.8,-9826.9,45432.1,55259.0,-7477.3,533899.7,284811.2,24909.9,89028.5,-473.1,83649.7,42429.4,-67.6,9611.7,57148.5,47536.8,6870.9,12775.4,5904.5,540770.6,1.136,1.09,0.956,1.15,1.055,0.9690000000000001,1.258,0.86,273212.25689186546,239324.44391632604,33898.14037260067,-6362.551785714286,35446.553086527194,480.0053571428571,36550.08754104934,386420.2673453169,35715.961833609486,16393.287376781176,38955.501295404916,12532.858056874376,935.1477469479182,3200.9357142857143,45383.796357716434,50204.5050547657,24907.45599962258,311180.2515518723,59755.90432465492,20498.2555064519,25460.05384515926,38928.05964898155,0.0,118623.20871998725,84333.77115505603,29084.00130081291,47573.921611589176,-18672.589237836364
1998Q4,473925.2,260975.5,25483.2,75354.6,2429.0,79870.0,48302.5,-601.5,-9332.4,44607.5,53940.0,-8555.8,539288.6,285492.4,24211.4,86017.3,2430.8,85439.3,46466.6,-544.3,9775.1,52150.2,42375.0,6235.6,10889.7,4654.1,545524.2,1.138,1.094,0.95,1.141,1.07,0.9620000000000001,1.169,0.7859999999999999,272917.4239111048,239085.11959786623,33835.97288754441,-7063.053571428572,35636.86209929712,436.7660714285714,37848.44405703732,377983.16137992067,35871.87627551571,16460.420819553845,39186.326512525084,12786.569188894686,898.130223166688,3299.5589285714286,46248.663350755945,50110.132951502965,26519.92286246959,310676.48155026167,60467.27376975022,19743.032566013993,25499.773300863006,39184.472712924384,0.0,131656.12483572634,85447.42814140796,28573.808527868547,38643.484883910016,-19563.466472955188
