period,GDP,CP,IHP,IFP,INP,CG,IG,ING,BF,XGS,MGS,KAISA,GDPV,CPV,IHPV,IFPV,INPV,CGV,IGV,INGV,BFV,XGSV,MGSV,NFIV,RTRIV,PTRIV,GNIV,PGDP,PCP,PIHP,PIFP,PCG,PIG,PXGS,PMGS,YWV,YWIV,YOLIV,YIGV,YIEV,YINPV,YICV,NIV,TAXNETV,ENTV,RENTHH,CCAVG,TPIV,TCIV,TCSTV,SUBV,TINCGV,CSSV,TYPV,YDV,BSSV,TYCV,OITAXV,ITAXV,CCAV,TAXV,YIV,YCV,SDV,OTYDV
2014Q1,557273.0,318145.0,26704.2,89915.8,-2454.7,103014.7,29541.9,65.5,-5942.2,80852.6,86794.8,-1717.1,524017.4,304060.4,24511.9,88242.7,-2710.9,101851.5,27472.8,104.4,-19515.4,86573.8,106089.2,17669.6,24901.7,7232.1,541687.0,0.94,0.956,0.9179999999999999,0.981,0.9890000000000001,0.93,1.071,1.222,255738.5,217910.29109289055,37493.46022119639,-3216.035,21771.413664249067,243.79500000000002,35773.5375,373641.01366424904,34458.8588658762,96233.6175,2869.7225,16868.06619908945,38010.39066426094,14330.328771963299,1090.7032773331935,3445.725,51149.63006823777,63266.04345995548,28879.505634053385,287826.20354696247,77141.859569348,22316.55987871754,22510.74159576977,37931.77364506626,132600.41588265199,89127.83915783718,18555.378664249067,63573.59749999999,959.5218080327031,-10453.558092625695
2014Q2,549531.3,303775.5,24709.9,88849.3,2259.0,103152.4,28368.9,82.6,-1331.3,82050.3,83381.6,-334.8,527153.5,295907.8,23409.6,87213.4,2427.8,103326.7,27068.0,109.6,-12309.2,87718.2,100027.4,17876.5,25475.2,7598.7,545030.0,0.9590000000000001,0.9740000000000001,0.9470000000000001,0.982,1.002,0.9540000000000001,1.069,1.2,259220.7,221114.6686579243,38237.593260346635,-3047.2325,20060.956385081743,213.2975,34317.942500000005,369675.3238850818,37851.65311181978,90375.66500000001,2851.9375,17335.845631053246,41226.39252213942,18251.64485626827,1068.073292335415,3281.185,50016.73871869126,64111.589895189616,26860.32954738512,288901.81660247763,76524.1602953242,23265.5832256484,21894.54372228003,41214.26187088371,133651.2226489903,91340.17464391723,17013.723885081745,59122.957500000004,3770.3765950441593,-10250.023135353636
2014Q3,550594.7,305910.8,23680.9,90418.6,-313.9,103566.3,29267.0,140.2,-1371.1,83245.7,84616.8,-704.1,528128.8,297684.8,22435.7,89117.4,-485.6,103984.2,28011.6,195.8,-12815.1,90939.0,103754.1,19774.3,27578.4,7804.2,547903.0,0.9590000000000001,0.973,0.9470000000000001,0.986,1.004,0.9570000000000001,1.092,1.226,259918.7,221410.93816409478,38491.27236320373,-3351.6675000000005,21703.299559448154,249.60750000000002,33402.590000000004,373716.0820594482,38834.91670849302,92378.345,2817.7975,17417.192906677446,42172.48525878481,18948.791192298173,1072.1731583854807,3405.6825,51057.936329252676,64654.80164520334,27502.003196677062,288664.8879854263,76917.54221193891,23541.618453912302,22140.610061988085,42161.57441267174,134535.29218689026,93205.1960632611,18351.632059448155,62043.159999999996,895.833840989857,-11120.438944080437
2014Q4,553755.6,306552.3,23614.4,91121.3,-777.2,103941.3,29269.9,16.8,603.0,85745.1,85142.2,-586.2,533061.6,298168.8,22391.0,89954.6,-721.6,104351.9,27977.7,25.7,-9086.6,95900.7,104987.2,22337.8,30722.2,8384.4,555399.3,0.963,0.973,0.948,0.987,1.004,0.956,1.1179999999999999,1.2329999999999999,259828.1,221191.92005158003,38666.02568880026,-3113.4325,21605.439602318165,225.6325,33724.6925,386346.7921023182,39647.741054801925,104983.75249999999,2817.3,17455.752983606533,42728.44173321586,19503.00709254025,1078.0778945595318,3102.1275,53438.22419954855,65175.51103856683,29149.851933050915,287437.1171827989,77019.74718702093,24327.109653904226,22166.007999902038,42747.092987001815,135215.44065373283,96224.05457395696,18492.007102318166,74301.99250000001,-5807.798243052908,-10415.499134922458
2015Q1,562438.6,308730.1,24408.4,94895.7,104.3,104724.9,28272.8,101.3,1406.4,86975.2,85568.9,-205.2,545542.4,300120.7,23007.5,94226.9,-24.4,104925.5,26967.5,114.5,-3795.8,95172.2,98968.0,20152.0,28542.6,8390.7,565694.4,0.97,0.972,0.943,0.993,1.002,0.9540000000000001,1.094,1.157,259933.8,221120.920373595,38870.66494555811,-2995.0249999999996,21956.173154731885,231.47750000000002,34260.89,386547.5831547319,39849.06914583826,104580.83,2840.3275,17478.153334453786,43099.479870003,19875.2811379039,1075.7557995292077,3311.57,52901.93471452982,65394.178262460846,27902.324806104276,289570.80778456473,77233.60019207867,24770.597492553876,22183.507270159786,43134.544207592895,135658.3896657289,95807.46650625105,18961.148154731884,73391.745,3665.4529719463317,-10517.152493680653
2015Q2,563038.3,308858.9,24727.4,94899.8,2033.0,104609.2,27752.9,-66.1,204.6,84120.1,83915.5,18.7,548781.7,301593.4,23454.8,94099.7,2103.0,104464.6,26639.1,-48.8,-3524.0,93410.7,96934.7,21419.3,29938.5,8519.1,570201.0,0.975,0.976,0.9490000000000001,0.992,0.9990000000000001,0.96,1.11,1.155,260188.1,220884.65533643498,39158.6429178927,-2500.1275000000005,24609.54706672208,272.815,36115.635,396847.7745667221,41551.84379438152,111423.92,2853.52,17558.814711240582,45162.9188477876,21821.354533103186,1076.5350370405113,3367.1725,52747.82233781255,66127.14416477807,28853.64241416145,292741.0526888662,77730.51623883951,23911.859159273794,22189.686306231888,45087.57587637559,136005.32539335729,97853.07744981084,22109.419566722077,78434.62000000001,-4372.503336455091,-10921.959037755849
2015Q3,563857.7,309956.5,24769.9,95400.0,1110.9,105214.7,27750.3,-75.0,67.1,86252.2,86185.1,-336.8,550639.9,302136.2,23593.2,94850.1,981.7,105088.7,26665.5,-54.3,-2621.3,95606.7,98228.0,21097.4,30269.5,9172.2,571737.2,0.977,0.975,0.9520000000000001,0.9940000000000001,0.9990000000000001,0.961,1.1079999999999999,1.14,261940.3,222542.53091045335,39529.903791540724,-2739.81,22785.80175478819,221.9075,36257.915,395206.3342547882,42372.34749241666,110121.47750000001,2876.6575,17638.38189517872,45568.30765583908,22333.944398438096,1075.3894462656338,3303.415,52650.872045118056,66846.47869884438,28731.917394029984,293420.17945758044,77754.40275321709,23916.788974723568,22131.226561273765,45540.56040597749,136226.90795456467,98189.26677473105,20045.99175478819,76962.1275,-1933.087615330296,-9739.843957550474
2015Q4,562732.1,308221.0,24672.1,95577.9,890.8,105950.6,28344.2,-54.1,-518.9,85297.9,85816.8,-351.5,550692.8,300119.2,23501.4,94742.6,897.8,106252.7,27195.3,-28.8,-1987.3,90958.6,92945.9,22005.5,31433.6,9428.2,572698.2,0.9790000000000001,0.9740000000000001,0.953,0.991,1.003,0.9590000000000001,1.0659999999999998,1.083,262978.6,223003.50500787384,39931.783391087985,-2644.3550000000005,22948.506608607328,224.59750000000003,35172.145000000004,391196.9591086073,42596.67876968796,104792.8125,2896.7975,17650.222012409315,45675.238048634696,22565.191873928314,1037.0044617063327,3121.5024999999996,52530.300533800495,67196.98301611762,28285.562587194127,292754.4782375251,77831.69486874246,24291.9933237282,22098.377143637914,45700.573479272556,136375.66628100828,98278.12939019488,20304.151608607328,72742.0625,2546.6036311119096,-10693.9226365129
2016Q1,567461.8,308605.9,24398.7,95113.2,1347.1,107380.1,29282.5,45.0,1300.8,85928.8,84627.9,-11.5,557387.1,299180.2,23281.2,94264.3,1445.9,107722.6,27905.9,11.1,3575.8,87988.9,84413.1,20148.0,29332.6,9184.6,577535.1,0.982,0.9690000000000001,0.9540000000000001,0.991,1.003,0.953,1.024,0.997,265228.9,225198.96733042164,40234.11367346316,-2521.1625,20970.48660863101,187.91500000000002,36280.86,401069.204108631,42409.67579783062,114286.8025,2916.2625,17641.211613881333,45930.974261898016,22896.746968642077,1002.1065101751237,3570.7675,51846.852132369786,68070.61019535705,28478.845680217786,293553.7635977007,77943.84074105657,23395.379016770108,22143.14333505984,46041.99681387704,136358.05215136998,97916.22151086494,18449.32410863101,81110.12,-2363.385573878011,-10320.867876412114
2016Q2,565691.4,306362.8,24886.9,94924.1,3133.0,106450.5,28284.6,-214.5,1693.9,85424.6,83730.7,170.2,554635.4,297904.6,23745.3,93492.9,2783.6,106111.5,26919.0,-216.2,3894.7,85479.1,81584.5,18955.5,28683.3,9727.8,573591.0,0.98,0.972,0.9540000000000001,0.985,0.997,0.9520000000000001,1.001,0.9740000000000001,265358.6,224748.07618552644,40290.5283195457,-3191.54,21893.94781603667,234.97750000000002,33789.880000000005,392682.5403160366,41070.12528430752,105274.98499999999,3111.5699999999997,17556.78730212103,44280.62868662343,21058.765448064427,951.7177135142433,3193.715,52053.406572888714,68198.92806218503,29136.224407167454,291068.6602327324,78046.75223654816,22838.6344428963,22195.10134506208,44205.58450664075,136593.8210460302,96180.4433567045,18702.40781603667,74831.65249999998,3302.669131292496,-10685.36735049996
